time	V(n002)	V(n001)	V(n003)	I(L2)	I(L1)	I(V2)	I(V1)
6.843138847034425e-02	-9.160340e-01	8.396599e-02	4.241396e-02	5.000111e+02	5.000111e+02	-5.000111e+02	-5.000111e+02
6.940795097034425e-02	-9.389059e-01	6.109409e-02	3.098877e-02	5.000107e+02	5.000107e+02	-5.000107e+02	-5.000107e+02
7.038451347034425e-02	-9.582440e-01	4.175600e-02	2.132883e-02	5.000102e+02	5.000102e+02	-5.000102e+02	-5.000102e+02
7.136107597034425e-02	-9.739755e-01	2.602453e-02	1.347049e-02	5.000098e+02	5.000098e+02	-5.000098e+02	-5.000098e+02
7.233763847034425e-02	-9.860411e-01	1.395889e-02	7.443348e-03	5.000093e+02	5.000093e+02	-5.000093e+02	-5.000093e+02
7.331420097034425e-02	-9.943955e-01	5.604479e-03	3.270074e-03	5.000088e+02	5.000088e+02	-5.000088e+02	-5.000088e+02
7.429076347034425e-02	-9.990072e-01	9.927504e-04	9.663799e-04	5.000083e+02	5.000083e+02	-5.000083e+02	-5.000083e+02
7.526732597034425e-02	-9.998589e-01	1.410593e-04	5.409351e-04	5.000078e+02	5.000078e+02	-5.000078e+02	-5.000078e+02
7.624388847034425e-02	-9.969474e-01	3.052612e-03	1.995341e-03	5.000073e+02	5.000073e+02	-5.000073e+02	-5.000073e+02
7.722045097034425e-02	-9.902835e-01	9.716448e-03	5.324125e-03	5.000068e+02	5.000068e+02	-5.000068e+02	-5.000068e+02
7.819701347034425e-02	-9.798925e-01	2.010749e-02	1.051476e-02	5.000064e+02	5.000064e+02	-5.000064e+02	-5.000064e+02
7.917357597034425e-02	-9.658134e-01	3.418662e-02	1.754770e-02	5.000059e+02	5.000059e+02	-5.000059e+02	-5.000059e+02
8.015013847034425e-02	-9.480991e-01	5.190086e-02	2.639649e-02	5.000054e+02	5.000054e+02	-5.000054e+02	-5.000054e+02
8.112670097034425e-02	-9.268165e-01	7.318353e-02	3.702781e-02	5.000050e+02	5.000050e+02	-5.000050e+02	-5.000050e+02
8.210326347034425e-02	-9.020455e-01	9.795453e-02	4.940165e-02	5.000045e+02	5.000045e+02	-5.000045e+02	-5.000045e+02
8.307982597034425e-02	-8.738794e-01	1.261206e-01	6.347145e-02	5.000041e+02	5.000041e+02	-5.000041e+02	-5.000041e+02
8.405638847034425e-02	-8.424242e-01	1.575758e-01	7.918423e-02	5.000037e+02	5.000037e+02	-5.000037e+02	-5.000037e+02
8.503295097034425e-02	-8.077983e-01	1.922017e-01	9.648088e-02	5.000033e+02	5.000033e+02	-5.000033e+02	-5.000033e+02
8.600951347034425e-02	-7.701321e-01	2.298679e-01	1.152963e-01	5.000029e+02	5.000029e+02	-5.000029e+02	-5.000029e+02
8.698607597034425e-02	-7.295672e-01	2.704328e-01	1.355596e-01	5.000025e+02	5.000025e+02	-5.000025e+02	-5.000025e+02
8.796263847034425e-02	-6.862565e-01	3.137435e-01	1.571946e-01	5.000022e+02	5.000022e+02	-5.000022e+02	-5.000022e+02
8.893920097034425e-02	-6.403628e-01	3.596372e-01	1.801199e-01	5.000018e+02	5.000018e+02	-5.000018e+02	-5.000018e+02
8.991576347034425e-02	-5.920589e-01	4.079411e-01	2.042491e-01	5.000016e+02	5.000016e+02	-5.000016e+02	-5.000016e+02
9.186888847034425e-02	-4.889562e-01	5.110437e-01	2.557519e-01	5.000010e+02	5.000010e+02	-5.000010e+02	-5.000010e+02
9.382201347034425e-02	-3.784992e-01	6.215008e-01	3.109285e-01	5.000006e+02	5.000006e+02	-5.000006e+02	-5.000006e+02
9.577513847034425e-02	-2.623492e-01	7.376508e-01	3.689488e-01	5.000003e+02	5.000003e+02	-5.000003e+02	-5.000003e+02
9.772826347034425e-02	-1.422532e-01	8.577468e-01	4.289403e-01	5.000001e+02	5.000001e+02	-5.000001e+02	-5.000001e+02
9.968138847034425e-02	-2.001762e-02	9.799824e-01	4.900006e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
1.016345134703442e-01	1.025191e-01	1.102519e+00	5.512113e-01	5.000000e+02	5.000000e+02	-5.000000e+02	-5.000000e+02
1.035876384703442e-01	2.235138e-01	1.223514e+00	6.116517e-01	5.000002e+02	5.000002e+02	-5.000002e+02	-5.000002e+02
1.055407634703442e-01	3.411466e-01	1.341147e+00	6.704128e-01	5.000005e+02	5.000005e+02	-5.000005e+02	-5.000005e+02
1.074938884703442e-01	4.536483e-01	1.453648e+00	7.266107e-01	5.000009e+02	5.000009e+02	-5.000009e+02	-5.000009e+02
1.094470134703442e-01	5.593267e-01	1.559327e+00	7.794002e-01	5.000014e+02	5.000014e+02	-5.000014e+02	-5.000014e+02
1.114001384703442e-01	6.565923e-01	1.656592e+00	8.279873e-01	5.000020e+02	5.000020e+02	-5.000020e+02	-5.000020e+02
1.133532634703442e-01	7.439821e-01	1.743982e+00	8.716410e-01	5.000026e+02	5.000026e+02	-5.000026e+02	-5.000026e+02
1.153063884703442e-01	8.201818e-01	1.820182e+00	9.097050e-01	5.000034e+02	5.000034e+02	-5.000034e+02	-5.000034e+02
1.172595134703442e-01	8.840452e-01	1.884045e+00	9.416066e-01	5.000042e+02	5.000042e+02	-5.000042e+02	-5.000042e+02
1.192126384703442e-01	9.346117e-01	1.934612e+00	9.668661e-01	5.000051e+02	5.000051e+02	-5.000051e+02	-5.000051e+02
1.211657634703442e-01	9.711207e-01	1.971121e+00	9.851035e-01	5.000060e+02	5.000060e+02	-5.000060e+02	-5.000060e+02
1.231188884703442e-01	9.930233e-01	1.993023e+00	9.960445e-01	5.000070e+02	5.000070e+02	-5.000070e+02	-5.000070e+02
1.250720134703442e-01	9.999897e-01	1.999990e+00	9.995244e-01	5.000080e+02	5.000080e+02	-5.000080e+02	-5.000080e+02
1.270251384703442e-01	9.919155e-01	1.991915e+00	9.954911e-01	5.000090e+02	5.000090e+02	-5.000090e+02	-5.000090e+02
1.289782634703442e-01	9.689219e-01	1.968922e+00	9.840051e-01	5.000099e+02	5.000099e+02	-5.000099e+02	-5.000099e+02
1.309313884703442e-01	9.313548e-01	1.931355e+00	9.652393e-01	5.000109e+02	5.000109e+02	-5.000109e+02	-5.000109e+02
1.328845134703442e-01	8.797793e-01	1.879779e+00	9.394758e-01	5.000117e+02	5.000117e+02	-5.000117e+02	-5.000117e+02
1.348376384703442e-01	8.149711e-01	1.814971e+00	9.071021e-01	5.000126e+02	5.000126e+02	-5.000126e+02	-5.000126e+02
1.367907634703442e-01	7.379049e-01	1.737905e+00	8.686053e-01	5.000133e+02	5.000133e+02	-5.000133e+02	-5.000133e+02
1.387438884703442e-01	6.497400e-01	1.649740e+00	8.245643e-01	5.000140e+02	5.000140e+02	-5.000140e+02	-5.000140e+02
1.406970134703442e-01	5.518024e-01	1.551802e+00	7.756416e-01	5.000146e+02	5.000146e+02	-5.000146e+02	-5.000146e+02
1.426501384703442e-01	4.455651e-01	1.445565e+00	7.225729e-01	5.000151e+02	5.000151e+02	-5.000151e+02	-5.000151e+02
1.446032634703442e-01	3.326262e-01	1.332626e+00	6.661566e-01	5.000154e+02	5.000154e+02	-5.000154e+02	-5.000154e+02
1.465563884703442e-01	2.146842e-01	1.214684e+00	6.072411e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
1.485095134703442e-01	9.351320e-02	1.093513e+00	5.467126e-01	5.000159e+02	5.000159e+02	-5.000159e+02	-5.000159e+02
1.514392009703442e-01	-9.030447e-02	9.096955e-01	4.548903e-01	5.000159e+02	5.000159e+02	-5.000159e+02	-5.000159e+02
1.533923259703442e-01	-2.115359e-01	7.884641e-01	3.943316e-01	5.000157e+02	5.000157e+02	-5.000157e+02	-5.000157e+02
1.553454509703442e-01	-3.295856e-01	6.704144e-01	3.353623e-01	5.000155e+02	5.000155e+02	-5.000155e+02	-5.000155e+02
1.572985759703442e-01	-4.426780e-01	5.573220e-01	2.788693e-01	5.000151e+02	5.000151e+02	-5.000151e+02	-5.000151e+02
1.592517009703442e-01	-5.491121e-01	4.508879e-01	2.257023e-01	5.000146e+02	5.000146e+02	-5.000146e+02	-5.000146e+02
1.602282634703442e-01	-5.993275e-01	4.006725e-01	2.006182e-01	5.000143e+02	5.000143e+02	-5.000143e+02	-5.000143e+02
1.612048259703442e-01	-6.472871e-01	3.527129e-01	1.766610e-01	5.000140e+02	5.000140e+02	-5.000140e+02	-5.000140e+02
1.621813884703442e-01	-6.928105e-01	3.071895e-01	1.539207e-01	5.000137e+02	5.000137e+02	-5.000137e+02	-5.000137e+02
1.631579509703442e-01	-7.357263e-01	2.642737e-01	1.324830e-01	5.000133e+02	5.000133e+02	-5.000133e+02	-5.000133e+02
1.641345134703442e-01	-7.758730e-01	2.241270e-01	1.124285e-01	5.000130e+02	5.000130e+02	-5.000130e+02	-5.000130e+02
1.651110759703442e-01	-8.130995e-01	1.869005e-01	9.383281e-02	5.000126e+02	5.000126e+02	-5.000126e+02	-5.000126e+02
1.660876384703442e-01	-8.472657e-01	1.527344e-01	7.676580e-02	5.000122e+02	5.000122e+02	-5.000122e+02	-5.000122e+02
1.670642009703442e-01	-8.782429e-01	1.217571e-01	6.129175e-02	5.000117e+02	5.000117e+02	-5.000117e+02	-5.000117e+02
1.680407634703442e-01	-9.059146e-01	9.408540e-02	4.746890e-02	5.000113e+02	5.000113e+02	-5.000113e+02	-5.000113e+02
1.690173259703442e-01	-9.301767e-01	6.982332e-02	3.534928e-02	5.000109e+02	5.000109e+02	-5.000109e+02	-5.000109e+02
1.699938884703442e-01	-9.509378e-01	4.906221e-02	2.497850e-02	5.000104e+02	5.000104e+02	-5.000104e+02	-5.000104e+02
1.709704509703442e-01	-9.681197e-01	3.188023e-02	1.639559e-02	5.000099e+02	5.000099e+02	-5.000099e+02	-5.000099e+02
1.719470134703442e-01	-9.816580e-01	1.834203e-02	9.632857e-03	5.000095e+02	5.000095e+02	-5.000095e+02	-5.000095e+02
1.729235759703442e-01	-9.915015e-01	8.498567e-03	4.715757e-03	5.000090e+02	5.000090e+02	-5.000090e+02	-5.000090e+02
1.739001384703442e-01	-9.976131e-01	2.386893e-03	1.662795e-03	5.000085e+02	5.000085e+02	-5.000085e+02	-5.000085e+02
1.748767009703442e-01	-9.999700e-01	3.000868e-05	4.854620e-04	5.000080e+02	5.000080e+02	-5.000080e+02	-5.000080e+02
1.758532634703442e-01	-9.985632e-01	1.436786e-03	1.188189e-03	5.000075e+02	5.000075e+02	-5.000075e+02	-5.000075e+02
1.768298259703442e-01	-9.933981e-01	6.601929e-03	3.768330e-03	5.000070e+02	5.000070e+02	-5.000070e+02	-5.000070e+02
1.778063884703442e-01	-9.844940e-01	1.550600e-02	8.216176e-03	5.000066e+02	5.000066e+02	-5.000066e+02	-5.000066e+02
1.787829509703442e-01	-9.718845e-01	2.811548e-02	1.451498e-02	5.000061e+02	5.000061e+02	-5.000061e+02	-5.000061e+02
1.797595134703442e-01	-9.556171e-01	4.438292e-02	2.264105e-02	5.000056e+02	5.000056e+02	-5.000056e+02	-5.000056e+02
1.807360759703442e-01	-9.357529e-01	6.424708e-02	3.256379e-02	5.000052e+02	5.000052e+02	-5.000052e+02	-5.000052e+02
1.817126384703442e-01	-9.123668e-01	8.763321e-02	4.424585e-02	5.000047e+02	5.000047e+02	-5.000047e+02	-5.000047e+02
1.826892009703442e-01	-8.855467e-01	1.144533e-01	5.764326e-02	5.000043e+02	5.000043e+02	-5.000043e+02	-5.000043e+02
1.836657634703442e-01	-8.553936e-01	1.446063e-01	7.270561e-02	5.000038e+02	5.000038e+02	-5.000038e+02	-5.000038e+02
