time	V(n002)	V(n003)	I(C1)	I(V2)	I(V1)
8.015013847034425e-02	-9.480991e-01	5.190086e-02	1.996642e+01	-1.996642e+01	-1.996642e+01
8.112670097034425e-02	-9.268165e-01	7.318353e-02	2.357948e+01	-2.357948e+01	-2.357948e+01
8.210326347034425e-02	-9.020455e-01	9.795453e-02	2.710379e+01	-2.710379e+01	-2.710379e+01
8.307982597034425e-02	-8.738794e-01	1.261206e-01	3.052609e+01	-3.052609e+01	-3.052609e+01
8.405638847034425e-02	-8.424242e-01	1.575758e-01	3.383350e+01	-3.383350e+01	-3.383350e+01
8.503295097034425e-02	-8.077983e-01	1.922017e-01	3.701356e+01	-3.701356e+01	-3.701356e+01
8.600951347034425e-02	-7.701321e-01	2.298679e-01	4.005432e+01	-4.005432e+01	-4.005432e+01
8.698607597034425e-02	-7.295672e-01	2.704328e-01	4.294432e+01	-4.294432e+01	-4.294432e+01
8.796263847034425e-02	-6.862565e-01	3.137435e-01	4.567268e+01	-4.567268e+01	-4.567268e+01
8.893920097034425e-02	-6.403628e-01	3.596372e-01	4.822915e+01	-4.822915e+01	-4.822915e+01
8.991576347034425e-02	-5.920589e-01	4.079411e-01	5.060409e+01	-5.060409e+01	-5.060409e+01
9.186888847034425e-02	-4.889562e-01	5.110437e-01	5.477436e+01	-5.477436e+01	-5.477436e+01
9.382201347034425e-02	-3.784992e-01	6.215008e-01	5.812078e+01	-5.812078e+01	-5.812078e+01
9.577513847034425e-02	-2.623492e-01	7.376508e-01	6.059300e+01	-6.059300e+01	-6.059300e+01
9.772826347034425e-02	-1.422532e-01	8.577468e-01	6.215385e+01	-6.215385e+01	-6.215385e+01
9.968138847034425e-02	-2.001762e-02	9.799824e-01	6.277985e+01	-6.277985e+01	-6.277985e+01
1.016345134703442e-01	1.025191e-01	1.102519e+00	6.246158e+01	-6.246158e+01	-6.246158e+01
1.035876384703442e-01	2.235138e-01	1.223514e+00	6.120383e+01	-6.120383e+01	-6.120383e+01
1.055407634703442e-01	3.411466e-01	1.341147e+00	5.902552e+01	-5.902552e+01	-5.902552e+01
1.074938884703442e-01	4.536483e-01	1.453648e+00	5.595941e+01	-5.595941e+01	-5.595941e+01
1.094470134703442e-01	5.593267e-01	1.559327e+00	5.205162e+01	-5.205162e+01	-5.205162e+01
1.114001384703442e-01	6.565923e-01	1.656592e+00	4.736092e+01	-4.736092e+01	-4.736092e+01
1.133532634703442e-01	7.439821e-01	1.743982e+00	4.195787e+01	-4.195787e+01	-4.195787e+01
1.153063884703442e-01	8.201818e-01	1.820182e+00	3.592374e+01	-3.592374e+01	-3.592374e+01
1.172595134703442e-01	8.840452e-01	1.884045e+00	2.934928e+01	-2.934928e+01	-2.934928e+01
1.192126384703442e-01	9.346117e-01	1.934612e+00	2.233337e+01	-2.233337e+01	-2.233337e+01
1.211657634703442e-01	9.711207e-01	1.971121e+00	1.498156e+01	-1.498156e+01	-1.498156e+01
1.231188884703442e-01	9.930233e-01	1.993023e+00	7.404404e+00	-7.404404e+00	-7.404404e+00
1.250720134703442e-01	9.999897e-01	1.999990e+00	-2.841184e-01	2.841184e-01	2.841184e-01
1.270251384703442e-01	9.919155e-01	1.991915e+00	-7.968367e+00	7.968367e+00	7.968367e+00
1.289782634703442e-01	9.689219e-01	1.968922e+00	-1.553276e+01	1.553276e+01	1.553276e+01
1.309313884703442e-01	9.313548e-01	1.931355e+00	-2.286353e+01	2.286353e+01	2.286353e+01
1.328845134703442e-01	8.797793e-01	1.879779e+00	-2.985042e+01	2.985042e+01	2.985042e+01
1.348376384703442e-01	8.149711e-01	1.814971e+00	-3.638832e+01	3.638832e+01	3.638832e+01
1.367907634703442e-01	7.379049e-01	1.737905e+00	-4.237891e+01	4.237891e+01	4.237891e+01
1.387438884703442e-01	6.497400e-01	1.649740e+00	-4.773208e+01	4.773208e+01	4.773208e+01
1.406970134703442e-01	5.518024e-01	1.551802e+00	-5.236731e+01	5.236731e+01	5.236731e+01
1.426501384703442e-01	4.455651e-01	1.445565e+00	-5.621490e+01	5.621490e+01	5.621490e+01
1.446032634703442e-01	3.326262e-01	1.332626e+00	-5.921695e+01	5.921695e+01	5.921695e+01
1.465563884703442e-01	2.146842e-01	1.214684e+00	-6.132833e+01	6.132833e+01	6.132833e+01
1.485095134703442e-01	9.351320e-02	1.093513e+00	-6.251728e+01	6.251728e+01	6.251728e+01
1.504626384703442e-01	-2.906434e-02	9.709356e-01	-6.276591e+01	6.276591e+01	6.276591e+01
1.524157634703442e-01	-1.512047e-01	8.487953e-01	-6.207048e+01	6.207048e+01	6.207048e+01
1.543688884703442e-01	-2.710708e-01	7.289292e-01	-6.044145e+01	6.044145e+01	6.044145e+01
1.563220134703442e-01	-3.868598e-01	6.131402e-01	-5.790332e+01	5.790332e+01	5.790332e+01
1.582751384703442e-01	-4.968300e-01	5.031700e-01	-5.449428e+01	5.449428e+01	5.449428e+01
1.602282634703442e-01	-5.993275e-01	4.006725e-01	-5.026559e+01	5.026559e+01	5.026559e+01
1.612048259703442e-01	-6.472871e-01	3.527129e-01	-4.786330e+01	4.786330e+01	4.786330e+01
1.621813884703442e-01	-6.928105e-01	3.071895e-01	-4.528086e+01	4.528086e+01	4.528086e+01
1.631579509703442e-01	-7.357263e-01	2.642737e-01	-4.252799e+01	4.252799e+01	4.252799e+01
1.641345134703442e-01	-7.758730e-01	2.241270e-01	-3.961506e+01	3.961506e+01	3.961506e+01
1.651110759703442e-01	-8.130995e-01	1.869005e-01	-3.655303e+01	3.655303e+01	3.655303e+01
