time	V(n003)	V(n001)	V(n002)	V(n005)	V(n004)	I(C1)	I(R3)	I(R2)	I(R1)	I(V2)	I(V1)
5.671263847034425e-02	5.000000e+00	2.953131e+00	1.970038e+00	9.850191e-01	3.033716e-01	0.000000e+00	-9.850191e-01	9.850191e-01	-9.850191e-01	-9.850191e-01	-9.850191e-01
5.768920097034425e-02	5.000000e+00	2.677248e+00	1.786289e+00	8.931447e-01	1.196226e-01	-1.136868e-13	-8.931447e-01	8.931447e-01	-8.931447e-01	-8.931447e-01	-8.931447e-01
5.866576347034425e-02	5.000000e+00	2.410108e+00	1.608363e+00	8.041815e-01	-5.830359e-02	-3.410605e-13	-8.041815e-01	8.041815e-01	-8.041815e-01	-8.041815e-01	-8.041815e-01
5.964232597034425e-02	5.000000e+00	2.152715e+00	1.436929e+00	7.184646e-01	-2.297374e-01	-4.547474e-13	-7.184646e-01	7.184646e-01	-7.184646e-01	-7.184646e-01	-7.184646e-01
6.061888847034425e-02	5.000000e+00	1.906038e+00	1.272633e+00	6.363165e-01	-3.940337e-01	-5.684342e-13	-6.363165e-01	6.363165e-01	-6.363165e-01	-6.363165e-01	-6.363165e-01
6.159545097034425e-02	5.000000e+00	1.671007e+00	1.116093e+00	5.580465e-01	-5.505739e-01	-7.958079e-13	-5.580465e-01	5.580465e-01	-5.580465e-01	-5.580465e-01	-5.580465e-01
6.257201347034425e-02	5.000000e+00	1.448505e+00	9.678978e-01	4.839489e-01	-6.987689e-01	-9.094947e-13	-4.839489e-01	4.839489e-01	-4.839489e-01	-4.839489e-01	-4.839489e-01
6.354857597034425e-02	5.000000e+00	1.239370e+00	8.286058e-01	4.143029e-01	-8.380609e-01	-9.094947e-13	-4.143029e-01	4.143029e-01	-4.143029e-01	-4.143029e-01	-4.143029e-01
6.452513847034425e-02	5.000000e+00	1.044389e+00	6.987410e-01	3.493705e-01	-9.679257e-01	-1.023182e-12	-3.493705e-01	3.493705e-01	-3.493705e-01	-3.493705e-01	-3.493705e-01
6.550170097034425e-02	5.000000e+00	8.642968e-01	5.787922e-01	2.893961e-01	-1.087874e+00	-1.250555e-12	-2.893961e-01	2.893961e-01	-2.893961e-01	-2.893961e-01	-2.893961e-01
6.647826347034425e-02	5.000000e+00	6.997700e-01	4.692109e-01	2.346054e-01	-1.197456e+00	-1.364242e-12	-2.346054e-01	2.346054e-01	-2.346054e-01	-2.346054e-01	-2.346054e-01
6.745482597034425e-02	5.000000e+00	5.514283e-01	3.704094e-01	1.852047e-01	-1.296257e+00	-1.364242e-12	-1.852047e-01	1.852047e-01	-1.852047e-01	-1.852047e-01	-1.852047e-01
6.843138847034425e-02	5.000000e+00	4.198300e-01	2.827598e-01	1.413799e-01	-1.383907e+00	-1.477929e-12	-1.413799e-01	1.413799e-01	-1.413799e-01	-1.413799e-01	-1.413799e-01
6.940795097034425e-02	5.000000e+00	3.054704e-01	2.065918e-01	1.032959e-01	-1.460075e+00	-1.705303e-12	-1.032959e-01	1.032959e-01	-1.032959e-01	-1.032959e-01	-1.032959e-01
7.038451347034425e-02	5.000000e+00	2.087800e-01	1.421922e-01	7.109609e-02	-1.524475e+00	-1.818989e-12	-7.109609e-02	7.109609e-02	-7.109609e-02	-7.109609e-02	-7.109609e-02
7.136107597034425e-02	5.000000e+00	1.301227e-01	8.980330e-02	4.490165e-02	-1.576863e+00	-1.818989e-12	-4.490165e-02	4.490165e-02	-4.490165e-02	-4.490165e-02	-4.490165e-02
7.233763847034425e-02	5.000000e+00	6.979444e-02	4.962232e-02	2.481116e-02	-1.617044e+00	-1.818989e-12	-2.481116e-02	2.481116e-02	-2.481116e-02	-2.481116e-02	-2.481116e-02
7.331420097034425e-02	5.000000e+00	2.802240e-02	2.180050e-02	1.090025e-02	-1.644866e+00	-1.818989e-12	-1.090025e-02	1.090025e-02	-1.090025e-02	-1.090025e-02	-1.090025e-02
7.429076347034425e-02	5.000000e+00	4.963752e-03	6.442533e-03	3.221266e-03	-1.660224e+00	-1.818989e-12	-3.221266e-03	3.221266e-03	-3.221266e-03	-3.221266e-03	-3.221266e-03
7.526732597034425e-02	5.000000e+00	7.052967e-04	3.606234e-03	1.803117e-03	-1.663060e+00	-1.818989e-12	-1.803117e-03	1.803117e-03	-1.803117e-03	-1.803117e-03	-1.803117e-03
7.624388847034425e-02	5.000000e+00	1.526306e-02	1.330228e-02	6.651138e-03	-1.653364e+00	-1.818989e-12	-6.651138e-03	6.651138e-03	-6.651138e-03	-6.651138e-03	-6.651138e-03
7.722045097034425e-02	5.000000e+00	4.858224e-02	3.549416e-02	1.774708e-02	-1.631173e+00	-1.818989e-12	-1.774708e-02	1.774708e-02	-1.774708e-02	-1.774708e-02	-1.774708e-02
7.819701347034425e-02	5.000000e+00	1.005374e-01	7.009838e-02	3.504919e-02	-1.596568e+00	-1.818989e-12	-3.504919e-02	3.504919e-02	-3.504919e-02	-3.504919e-02	-3.504919e-02
7.917357597034425e-02	5.000000e+00	1.709331e-01	1.169847e-01	5.849233e-02	-1.549682e+00	-1.818989e-12	-5.849233e-02	5.849233e-02	-5.849233e-02	-5.849233e-02	-5.849233e-02
8.015013847034425e-02	5.000000e+00	2.595043e-01	1.759766e-01	8.798828e-02	-1.490690e+00	-1.705303e-12	-8.798828e-02	8.798828e-02	-8.798828e-02	-8.798828e-02	-8.798828e-02
8.112670097034425e-02	5.000000e+00	3.659177e-01	2.468520e-01	1.234260e-01	-1.419815e+00	-1.477929e-12	-1.234260e-01	1.234260e-01	-1.234260e-01	-1.234260e-01	-1.234260e-01
8.210326347034425e-02	5.000000e+00	4.897726e-01	3.293444e-01	1.646722e-01	-1.337322e+00	-1.364242e-12	-1.646722e-01	1.646722e-01	-1.646722e-01	-1.646722e-01	-1.646722e-01
