time	V(n001)	V(n003)	I(C2)	I(C1)	I(I1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	-1.000000e+00
9.999999717180685e-10	6.283185e-08	3.141593e-08	2.356194e+01	2.356194e+01	1.000000e+00	-2.456195e+01
1.999999943436137e-09	1.256637e-07	6.283185e-08	3.141593e+01	3.141593e+01	1.000000e+00	-3.241593e+01
4.288161386205582e-04	2.697838e-02	1.348160e-02	3.139968e+01	3.139968e+01	1.000000e+00	-3.239968e+01
8.576302772411729e-04	5.389180e-02	2.692904e-02	3.136140e+01	3.136140e+01	1.000000e+00	-3.236140e+01
1.286444415861788e-03	8.074038e-02	4.034240e-02	3.130109e+01	3.130109e+01	1.000000e+00	-3.230108e+01
1.715258554482402e-03	1.075241e-01	5.372166e-02	3.121874e+01	3.121874e+01	1.000000e+00	-3.221873e+01
2.144072693103017e-03	1.342430e-01	6.706684e-02	3.111435e+01	3.111435e+01	1.000000e+00	-3.211435e+01
2.572886831723632e-03	1.608971e-01	8.037793e-02	3.098793e+01	3.098793e+01	1.000000e+00	-3.198793e+01
3.001700970344245e-03	1.874863e-01	9.365494e-02	3.083947e+01	3.083947e+01	1.000000e+00	-3.183947e+01
4.954825970344245e-03	3.063163e-01	1.530140e-01	2.988700e+01	2.988700e+01	1.000000e+00	-3.088700e+01
6.907950970344245e-03	4.205390e-01	2.100717e-01	2.848499e+01	2.848499e+01	1.000000e+00	-2.948499e+01
8.861075970344245e-03	5.284365e-01	2.639696e-01	2.665454e+01	2.665454e+01	1.000000e+00	-2.765454e+01
1.081420097034425e-02	6.283857e-01	3.138972e-01	2.442318e+01	2.442318e+01	1.000000e+00	-2.542318e+01
1.276732597034425e-02	7.188835e-01	3.591035e-01	2.182447e+01	2.182447e+01	1.000000e+00	-2.282447e+01
1.472045097034425e-02	7.985685e-01	3.989086e-01	1.889751e+01	1.889751e+01	1.000000e+00	-1.989751e+01
1.667357597034425e-02	8.662424e-01	4.327137e-01	1.568630e+01	1.568630e+01	1.000000e+00	-1.668630e+01
1.862670097034425e-02	9.208872e-01	4.600103e-01	1.223916e+01	1.223916e+01	1.000000e+00	-1.323916e+01
2.057982597034425e-02	9.616809e-01	4.803880e-01	8.607937e+00	8.607937e+00	1.000000e+00	-9.607937e+00
2.253295097034425e-02	9.880101e-01	4.935402e-01	4.847239e+00	4.847239e+00	1.000000e+00	-5.847239e+00
2.448607597034425e-02	9.994787e-01	4.992691e-01	1.013633e+00	1.013633e+00	1.000000e+00	-2.013633e+00
2.546263847034425e-02	9.995775e-01	4.993185e-01	-9.125103e-01	-9.125103e-01	1.000000e+00	-8.748969e-02
2.643920097034425e-02	9.959142e-01	4.974886e-01	-2.835219e+00	-2.835219e+00	1.000000e+00	1.835219e+00
2.839232597034425e-02	9.773703e-01	4.882253e-01	-6.641426e+00	-6.641426e+00	1.000000e+00	5.641426e+00
3.034545097034425e-02	9.441257e-01	4.716187e-01	-1.034774e+01	-1.034774e+01	1.000000e+00	9.347740e+00
3.229857597034425e-02	8.966807e-01	4.479185e-01	-1.389841e+01	-1.389841e+01	1.000000e+00	1.289841e+01
3.425170097034425e-02	8.357487e-01	4.174811e-01	-1.724004e+01	-1.724004e+01	1.000000e+00	1.624004e+01
3.620482597034425e-02	7.622463e-01	3.807645e-01	-2.032237e+01	-2.032237e+01	1.000000e+00	1.932237e+01
3.815795097034425e-02	6.772790e-01	3.383209e-01	-2.309902e+01	-2.309902e+01	1.000000e+00	2.209902e+01
4.011107597034425e-02	5.821248e-01	2.907885e-01	-2.552825e+01	-2.552825e+01	1.000000e+00	2.452825e+01
4.206420097034425e-02	4.782149e-01	2.388825e-01	-2.757350e+01	-2.757350e+01	1.000000e+00	2.657350e+01
4.401732597034425e-02	3.671122e-01	1.833834e-01	-2.920403e+01	-2.920403e+01	1.000000e+00	2.820403e+01
4.597045097034425e-02	2.504877e-01	1.251260e-01	-3.039530e+01	-3.039530e+01	1.000000e+00	2.939530e+01
4.792357597034425e-02	1.300958e-01	6.498668e-02	-3.112939e+01	-3.112939e+01	1.000000e+00	3.012939e+01
4.987670097034425e-02	7.747029e-03	3.869870e-03	-3.139528e+01	-3.139528e+01	1.000000e+00	3.039528e+01
5.182982597034425e-02	-1.147182e-01	-5.730515e-02	-3.118894e+01	-3.118894e+01	1.000000e+00	3.018894e+01
5.378295097034425e-02	-2.354580e-01	-1.176182e-01	-3.051350e+01	-3.051350e+01	1.000000e+00	2.951350e+01
5.573607597034425e-02	-3.526563e-01	-1.761622e-01	-2.937910e+01	-2.937910e+01	1.000000e+00	2.837910e+01
5.768920097034425e-02	-4.645503e-01	-2.320566e-01	-2.780282e+01	-2.780282e+01	1.000000e+00	2.680282e+01
5.964232597034425e-02	-5.694571e-01	-2.844606e-01	-2.580835e+01	-2.580835e+01	1.000000e+00	2.480835e+01
6.159545097034425e-02	-6.657986e-01	-3.325861e-01	-2.342571e+01	-2.342571e+01	1.000000e+00	2.242571e+01
6.354857597034425e-02	-7.521260e-01	-3.757091e-01	-2.069072e+01	-2.069072e+01	1.000000e+00	1.969072e+01
6.550170097034425e-02	-8.271406e-01	-4.131812e-01	-1.764452e+01	-1.764452e+01	1.000000e+00	1.664452e+01
6.745482597034425e-02	-8.897144e-01	-4.444386e-01	-1.433293e+01	-1.433293e+01	1.000000e+00	1.333293e+01
6.940795097034425e-02	-9.389059e-01	-4.690112e-01	-1.080576e+01	-1.080576e+01	1.000000e+00	9.805758e+00
7.136107597034425e-02	-9.739755e-01	-4.865295e-01	-7.116061e+00	-7.116061e+00	1.000000e+00	6.116061e+00
7.331420097034425e-02	-9.943955e-01	-4.967299e-01	-3.319331e+00	-3.319331e+00	1.000000e+00	2.319331e+00
7.429076347034425e-02	-9.990072e-01	-4.990336e-01	-1.398636e+00	-1.398636e+00	1.000000e+00	3.986355e-01
7.624388847034425e-02	-9.969474e-01	-4.980047e-01	2.451300e+00	2.451300e+00	1.000000e+00	-3.451300e+00
7.819701347034425e-02	-9.798925e-01	-4.894852e-01	6.264365e+00	6.264365e+00	1.000000e+00	-7.264365e+00
8.015013847034425e-02	-9.480991e-01	-4.736035e-01	9.983208e+00	9.983208e+00	1.000000e+00	-1.098321e+01
8.210326347034425e-02	-9.020455e-01	-4.505984e-01	1.355190e+01	1.355190e+01	1.000000e+00	-1.455190e+01
8.405638847034425e-02	-8.424242e-01	-4.208158e-01	1.691675e+01	1.691675e+01	1.000000e+00	-1.791675e+01
8.600951347034425e-02	-7.701321e-01	-3.847037e-01	2.002716e+01	2.002716e+01	1.000000e+00	-2.102716e+01
8.796263847034425e-02	-6.862565e-01	-3.428054e-01	2.283634e+01	2.283634e+01	1.000000e+00	-2.383634e+01
