time	N001	V1	R1	I1
0.0161041	1.84782	-2.84782	1.84782	1
0.0161051	1.84785	-2.84785	1.84785	1
0.0161061	1.84788	-2.84788	1.84788	1
0.0161071	1.84792	-2.84792	1.84792	1
0.0161081	1.84795	-2.84795	1.84795	1
0.0161091	1.84798	-2.84798	1.84798	1
0.0161101	1.84802	-2.84802	1.84802	1
0.0161111	1.84805	-2.84805	1.84805	1
0.0161121	1.84808	-2.84808	1.84808	1
0.0161131	1.84812	-2.84812	1.84812	1
0.0161141	1.84815	-2.84815	1.84815	1
0.0161151	1.84818	-2.84818	1.84818	1
0.0161161	1.84822	-2.84822	1.84822	1
0.0161171	1.84825	-2.84825	1.84825	1
0.0161181	1.84828	-2.84828	1.84828	1
0.0161191	1.84832	-2.84832	1.84832	1
0.0161201	1.84835	-2.84835	1.84835	1
0.0161211	1.84838	-2.84838	1.84838	1
0.0161221	1.84842	-2.84842	1.84842	1
0.0161231	1.84845	-2.84845	1.84845	1
0.0161241	1.84848	-2.84848	1.84848	1
0.0161251	1.84852	-2.84852	1.84852	1
0.0161261	1.84855	-2.84855	1.84855	1
0.0161271	1.84858	-2.84858	1.84858	1
0.0161281	1.84861	-2.84861	1.84861	1
0.0161291	1.84865	-2.84865	1.84865	1
0.0161301	1.84868	-2.84868	1.84868	1
0.0161311	1.84871	-2.84871	1.84871	1
0.0161321	1.84875	-2.84875	1.84875	1
0.0161331	1.84878	-2.84878	1.84878	1
0.0161341	1.84881	-2.84881	1.84881	1
0.0161351	1.84885	-2.84885	1.84885	1
0.0161361	1.84888	-2.84888	1.84888	1
0.0161371	1.84891	-2.84891	1.84891	1
0.0161381	1.84895	-2.84895	1.84895	1
0.0161391	1.84898	-2.84898	1.84898	1
0.0161401	1.84901	-2.84901	1.84901	1
0.0161411	1.84905	-2.84905	1.84905	1
0.0161421	1.84908	-2.84908	1.84908	1
0.0161431	1.84911	-2.84911	1.84911	1
0.0161441	1.84915	-2.84915	1.84915	1
0.0161451	1.84918	-2.84918	1.84918	1
0.0161461	1.84921	-2.84921	1.84921	1
0.0161471	1.84925	-2.84925	1.84925	1
0.0161481	1.84928	-2.84928	1.84928	1
0.0161492	1.84931	-2.84931	1.84931	1
0.0161502	1.84935	-2.84935	1.84935	1
0.0161512	1.84938	-2.84938	1.84938	1
0.0161522	1.84941	-2.84941	1.84941	1
0.0161532	1.84944	-2.84944	1.84944	1
0.0161542	1.84948	-2.84948	1.84948	1
0.0161552	1.84951	-2.84951	1.84951	1
0.0161562	1.84954	-2.84954	1.84954	1
0.0161572	1.84958	-2.84958	1.84958	1
0.0161582	1.84961	-2.84961	1.84961	1
0.0161592	1.84964	-2.84964	1.84964	1
0.0161602	1.84968	-2.84968	1.84968	1
0.0161612	1.84971	-2.84971	1.84971	1
0.0161622	1.84974	-2.84974	1.84974	1
0.0161632	1.84978	-2.84978	1.84978	1
0.0161642	1.84981	-2.84981	1.84981	1
0.0161652	1.84984	-2.84984	1.84984	1
0.0161662	1.84988	-2.84988	1.84988	1
0.0161672	1.84991	-2.84991	1.84991	1
0.0161682	1.84994	-2.84994	1.84994	1
0.0161692	1.84998	-2.84998	1.84998	1
0.0161702	1.85001	-2.85001	1.85001	1
0.0161712	1.85004	-2.85004	1.85004	1
0.0161722	1.85007	-2.85007	1.85007	1
0.0161732	1.85011	-2.85011	1.85011	1
0.0161742	1.85014	-2.85014	1.85014	1
0.0161752	1.85017	-2.85017	1.85017	1
0.0161762	1.85021	-2.85021	1.85021	1
0.0161772	1.85024	-2.85024	1.85024	1
0.0161782	1.85027	-2.85027	1.85027	1
0.0161792	1.85031	-2.85031	1.85031	1
0.0161802	1.85034	-2.85034	1.85034	1
0.0161812	1.85037	-2.85037	1.85037	1
0.0161822	1.85041	-2.85041	1.85041	1
0.0161832	1.85044	-2.85044	1.85044	1
0.0161842	1.85047	-2.85047	1.85047	1
0.0161852	1.8505	-2.8505	1.8505	1
0.0161862	1.85054	-2.85054	1.85054	1
0.0161872	1.85057	-2.85057	1.85057	1
0.0161882	1.8506	-2.8506	1.8506	1
0.0161892	1.85064	-2.85064	1.85064	1
0.0161902	1.85067	-2.85067	1.85067	1
0.0161912	1.8507	-2.8507	1.8507	1
0.0161922	1.85074	-2.85074	1.85074	1
0.0161932	1.85077	-2.85077	1.85077	1
0.0161942	1.8508	-2.8508	1.8508	1
0.0161952	1.85083	-2.85083	1.85083	1
0.0161962	1.85087	-2.85087	1.85087	1
0.0161972	1.8509	-2.8509	1.8509	1
0.0161982	1.85093	-2.85093	1.85093	1
0.0161992	1.85097	-2.85097	1.85097	1
0.0162002	1.851	-2.851	1.851	1
0.0162012	1.85103	-2.85103	1.85103	1
0.0162022	1.85107	-2.85107	1.85107	1
0.0162032	1.8511	-2.8511	1.8511	1
0.0162042	1.85113	-2.85113	1.85113	1
0.0162052	1.85116	-2.85116	1.85116	1
0.0162062	1.8512	-2.8512	1.8512	1
0.0162072	1.85123	-2.85123	1.85123	1
0.0162082	1.85126	-2.85126	1.85126	1
0.0162092	1.8513	-2.8513	1.8513	1
0.0162102	1.85133	-2.85133	1.85133	1
0.0162112	1.85136	-2.85136	1.85136	1
0.0162122	1.8514	-2.8514	1.8514	1
0.0162132	1.85143	-2.85143	1.85143	1
0.0162142	1.85146	-2.85146	1.85146	1
0.0162152	1.85149	-2.85149	1.85149	1
0.0162162	1.85153	-2.85153	1.85153	1
0.0162172	1.85156	-2.85156	1.85156	1
0.0162182	1.85159	-2.85159	1.85159	1
0.0162192	1.85163	-2.85163	1.85163	1
0.0162202	1.85166	-2.85166	1.85166	1
0.0162212	1.85169	-2.85169	1.85169	1
0.0162222	1.85173	-2.85173	1.85173	1
0.0162232	1.85176	-2.85176	1.85176	1
0.0162242	1.85179	-2.85179	1.85179	1
0.0162252	1.85182	-2.85182	1.85182	1
0.0162262	1.85186	-2.85186	1.85186	1
0.0162272	1.85189	-2.85189	1.85189	1
0.0162282	1.85192	-2.85192	1.85192	1
0.0162292	1.85196	-2.85196	1.85196	1
0.0162302	1.85199	-2.85199	1.85199	1
0.0162312	1.85202	-2.85202	1.85202	1
0.0162322	1.85205	-2.85205	1.85205	1
0.0162332	1.85209	-2.85209	1.85209	1
0.0162342	1.85212	-2.85212	1.85212	1
0.0162352	1.85215	-2.85215	1.85215	1
0.0162362	1.85219	-2.85219	1.85219	1
0.0162372	1.85222	-2.85222	1.85222	1
0.0162382	1.85225	-2.85225	1.85225	1
0.0162392	1.85228	-2.85228	1.85228	1
0.0162402	1.85232	-2.85232	1.85232	1
0.0162412	1.85235	-2.85235	1.85235	1
0.0162422	1.85238	-2.85238	1.85238	1
0.0162432	1.85242	-2.85242	1.85242	1
0.0162442	1.85245	-2.85245	1.85245	1
0.0162452	1.85248	-2.85248	1.85248	1
0.0162462	1.85251	-2.85251	1.85251	1
0.0162472	1.85255	-2.85255	1.85255	1
0.0162482	1.85258	-2.85258	1.85258	1
0.0162492	1.85261	-2.85261	1.85261	1
0.0162502	1.85265	-2.85265	1.85265	1
0.0162512	1.85268	-2.85268	1.85268	1
0.0162522	1.85271	-2.85271	1.85271	1
0.0162532	1.85274	-2.85274	1.85274	1
0.0162542	1.85278	-2.85278	1.85278	1
0.0162552	1.85281	-2.85281	1.85281	1
0.0162562	1.85284	-2.85284	1.85284	1
0.0162572	1.85288	-2.85288	1.85288	1
0.0162582	1.85291	-2.85291	1.85291	1
0.0162592	1.85294	-2.85294	1.85294	1
0.0162602	1.85297	-2.85297	1.85297	1
0.0162612	1.85301	-2.85301	1.85301	1
0.0162622	1.85304	-2.85304	1.85304	1
0.0162632	1.85307	-2.85307	1.85307	1
0.0162642	1.85311	-2.85311	1.85311	1
0.0162652	1.85314	-2.85314	1.85314	1
0.0162662	1.85317	-2.85317	1.85317	1
0.0162672	1.8532	-2.8532	1.8532	1
0.0162682	1.85324	-2.85324	1.85324	1
0.0162692	1.85327	-2.85327	1.85327	1
0.0162702	1.8533	-2.8533	1.8533	1
0.0162712	1.85333	-2.85333	1.85333	1
0.0162722	1.85337	-2.85337	1.85337	1
0.0162732	1.8534	-2.8534	1.8534	1
0.0162742	1.85343	-2.85343	1.85343	1
0.0162752	1.85347	-2.85347	1.85347	1
0.0162762	1.8535	-2.8535	1.8535	1
0.0162772	1.85353	-2.85353	1.85353	1
0.0162782	1.85356	-2.85356	1.85356	1
0.0162792	1.8536	-2.8536	1.8536	1
0.0162802	1.85363	-2.85363	1.85363	1
0.0162812	1.85366	-2.85366	1.85366	1
0.0162822	1.85369	-2.85369	1.85369	1
0.0162832	1.85373	-2.85373	1.85373	1
0.0162842	1.85376	-2.85376	1.85376	1
0.0162852	1.85379	-2.85379	1.85379	1
0.0162862	1.85383	-2.85383	1.85383	1
0.0162872	1.85386	-2.85386	1.85386	1
0.0162882	1.85389	-2.85389	1.85389	1
0.0162892	1.85392	-2.85392	1.85392	1
0.0162902	1.85396	-2.85396	1.85396	1
0.0162912	1.85399	-2.85399	1.85399	1
0.0162922	1.85402	-2.85402	1.85402	1
0.0162932	1.85405	-2.85405	1.85405	1
0.0162942	1.85409	-2.85409	1.85409	1
0.0162952	1.85412	-2.85412	1.85412	1
0.0162962	1.85415	-2.85415	1.85415	1
0.0162972	1.85419	-2.85419	1.85419	1
0.0162982	1.85422	-2.85422	1.85422	1
0.0162992	1.85425	-2.85425	1.85425	1
0.0163002	1.85428	-2.85428	1.85428	1
0.0163012	1.85432	-2.85432	1.85432	1
0.0163022	1.85435	-2.85435	1.85435	1
0.0163032	1.85438	-2.85438	1.85438	1
0.0163042	1.85441	-2.85441	1.85441	1
0.0163052	1.85445	-2.85445	1.85445	1
0.0163062	1.85448	-2.85448	1.85448	1
0.0163072	1.85451	-2.85451	1.85451	1
0.0163082	1.85454	-2.85454	1.85454	1
0.0163092	1.85458	-2.85458	1.85458	1
0.0163102	1.85461	-2.85461	1.85461	1
0.0163112	1.85464	-2.85464	1.85464	1
0.0163122	1.85468	-2.85468	1.85468	1
0.0163132	1.85471	-2.85471	1.85471	1
0.0163142	1.85474	-2.85474	1.85474	1
0.0163152	1.85477	-2.85477	1.85477	1
0.0163162	1.85481	-2.85481	1.85481	1
0.0163172	1.85484	-2.85484	1.85484	1
0.0163182	1.85487	-2.85487	1.85487	1
0.0163192	1.8549	-2.8549	1.8549	1
0.0163202	1.85494	-2.85494	1.85494	1
0.0163212	1.85497	-2.85497	1.85497	1
0.0163222	1.855	-2.855	1.855	1
0.0163232	1.85503	-2.85503	1.85503	1
0.0163242	1.85507	-2.85507	1.85507	1
0.0163252	1.8551	-2.8551	1.8551	1
0.0163262	1.85513	-2.85513	1.85513	1
0.0163272	1.85516	-2.85516	1.85516	1
0.0163282	1.8552	-2.8552	1.8552	1
0.0163292	1.85523	-2.85523	1.85523	1
0.0163302	1.85526	-2.85526	1.85526	1
0.0163312	1.85529	-2.85529	1.85529	1
0.0163322	1.85533	-2.85533	1.85533	1
0.0163332	1.85536	-2.85536	1.85536	1
0.0163342	1.85539	-2.85539	1.85539	1
0.0163352	1.85542	-2.85542	1.85542	1
0.0163362	1.85546	-2.85546	1.85546	1
0.0163372	1.85549	-2.85549	1.85549	1
0.0163382	1.85552	-2.85552	1.85552	1
0.0163392	1.85555	-2.85556	1.85556	1
0.0163402	1.85559	-2.85559	1.85559	1
0.0163412	1.85562	-2.85562	1.85562	1
0.0163422	1.85565	-2.85565	1.85565	1
0.0163432	1.85569	-2.85569	1.85569	1
0.0163442	1.85572	-2.85572	1.85572	1
0.0163452	1.85575	-2.85575	1.85575	1
0.0163462	1.85578	-2.85578	1.85578	1
0.0163472	1.85582	-2.85582	1.85582	1
0.0163482	1.85585	-2.85585	1.85585	1
0.0163492	1.85588	-2.85588	1.85588	1
0.0163502	1.85591	-2.85591	1.85591	1
0.0163512	1.85595	-2.85595	1.85595	1
0.0163522	1.85598	-2.85598	1.85598	1
0.0163532	1.85601	-2.85601	1.85601	1
0.0163542	1.85604	-2.85604	1.85604	1
0.0163552	1.85608	-2.85608	1.85608	1
0.0163562	1.85611	-2.85611	1.85611	1
0.0163572	1.85614	-2.85614	1.85614	1
0.0163582	1.85617	-2.85617	1.85617	1
0.0163592	1.85621	-2.8562	1.85621	1
0.0163602	1.85624	-2.85624	1.85624	1
0.0163612	1.85627	-2.85627	1.85627	1
0.0163622	1.8563	-2.8563	1.8563	1
0.0163632	1.85633	-2.85633	1.85633	1
0.0163642	1.85637	-2.85637	1.85637	1
0.0163652	1.8564	-2.8564	1.8564	1
0.0163662	1.85643	-2.85643	1.85643	1
0.0163672	1.85646	-2.85646	1.85646	1
0.0163682	1.8565	-2.8565	1.8565	1
0.0163692	1.85653	-2.85653	1.85653	1
0.0163702	1.85656	-2.85656	1.85656	1
0.0163712	1.85659	-2.85659	1.85659	1
0.0163722	1.85663	-2.85663	1.85663	1
0.0163732	1.85666	-2.85666	1.85666	1
0.0163742	1.85669	-2.85669	1.85669	1
0.0163752	1.85672	-2.85672	1.85672	1
0.0163762	1.85676	-2.85676	1.85676	1
0.0163772	1.85679	-2.85679	1.85679	1
0.0163782	1.85682	-2.85682	1.85682	1
0.0163792	1.85685	-2.85685	1.85685	1
0.0163802	1.85689	-2.85689	1.85689	1
0.0163812	1.85692	-2.85692	1.85692	1
0.0163822	1.85695	-2.85695	1.85695	1
0.0163832	1.85698	-2.85698	1.85698	1
0.0163842	1.85702	-2.85702	1.85702	1
0.0163852	1.85705	-2.85705	1.85705	1
0.0163862	1.85708	-2.85708	1.85708	1
0.0163872	1.85711	-2.85711	1.85711	1
0.0163882	1.85715	-2.85715	1.85715	1
0.0163892	1.85718	-2.85718	1.85718	1
0.0163902	1.85721	-2.85721	1.85721	1
0.0163912	1.85724	-2.85724	1.85724	1
0.0163922	1.85727	-2.85727	1.85727	1
0.0163932	1.85731	-2.85731	1.85731	1
0.0163942	1.85734	-2.85734	1.85734	1
0.0163952	1.85737	-2.85737	1.85737	1
0.0163962	1.8574	-2.8574	1.8574	1
0.0163972	1.85744	-2.85744	1.85744	1
0.0163982	1.85747	-2.85747	1.85747	1
0.0163992	1.8575	-2.8575	1.8575	1
0.0164002	1.85753	-2.85753	1.85753	1
0.0164012	1.85757	-2.85757	1.85757	1
0.0164022	1.8576	-2.8576	1.8576	1
0.0164032	1.85763	-2.85763	1.85763	1
0.0164042	1.85766	-2.85766	1.85766	1
0.0164052	1.8577	-2.8577	1.8577	1
0.0164062	1.85773	-2.85773	1.85773	1
0.0164072	1.85776	-2.85776	1.85776	1
0.0164082	1.85779	-2.85779	1.85779	1
0.0164092	1.85782	-2.85782	1.85782	1
0.0164102	1.85786	-2.85786	1.85786	1
0.0164112	1.85789	-2.85789	1.85789	1
0.0164122	1.85792	-2.85792	1.85792	1
0.0164132	1.85795	-2.85795	1.85795	1
0.0164142	1.85799	-2.85799	1.85799	1
0.0164152	1.85802	-2.85802	1.85802	1
0.0164162	1.85805	-2.85805	1.85805	1
0.0164172	1.85808	-2.85808	1.85808	1
0.0164182	1.85811	-2.85811	1.85811	1
0.0164192	1.85815	-2.85815	1.85815	1
0.0164202	1.85818	-2.85818	1.85818	1
0.0164212	1.85821	-2.85821	1.85821	1
0.0164222	1.85824	-2.85824	1.85824	1
0.0164232	1.85828	-2.85828	1.85828	1
0.0164242	1.85831	-2.85831	1.85831	1
0.0164252	1.85834	-2.85834	1.85834	1
0.0164262	1.85837	-2.85837	1.85837	1
0.0164272	1.85841	-2.85841	1.85841	1
0.0164282	1.85844	-2.85844	1.85844	1
0.0164292	1.85847	-2.85847	1.85847	1
0.0164302	1.8585	-2.8585	1.8585	1
0.0164312	1.85853	-2.85853	1.85853	1
0.0164322	1.85857	-2.85857	1.85857	1
0.0164332	1.8586	-2.8586	1.8586	1
0.0164342	1.85863	-2.85863	1.85863	1
0.0164352	1.85866	-2.85866	1.85866	1
0.0164362	1.8587	-2.8587	1.8587	1
0.0164372	1.85873	-2.85873	1.85873	1
0.0164382	1.85876	-2.85876	1.85876	1
0.0164392	1.85879	-2.85879	1.85879	1
0.0164402	1.85882	-2.85882	1.85882	1
0.0164412	1.85886	-2.85886	1.85886	1
0.0164422	1.85889	-2.85889	1.85889	1
0.0164432	1.85892	-2.85892	1.85892	1
0.0164442	1.85895	-2.85895	1.85895	1
0.0164452	1.85898	-2.85898	1.85898	1
0.0164462	1.85902	-2.85902	1.85902	1
0.0164472	1.85905	-2.85905	1.85905	1
0.0164482	1.85908	-2.85908	1.85908	1
0.0164492	1.85911	-2.85911	1.85911	1
0.0164502	1.85915	-2.85915	1.85915	1
0.0164512	1.85918	-2.85918	1.85918	1
0.0164522	1.85921	-2.85921	1.85921	1
0.0164532	1.85924	-2.85924	1.85924	1
0.0164542	1.85927	-2.85927	1.85927	1
0.0164552	1.85931	-2.85931	1.85931	1
0.0164562	1.85934	-2.85934	1.85934	1
0.0164572	1.85937	-2.85937	1.85937	1
0.0164582	1.8594	-2.8594	1.8594	1
0.0164592	1.85944	-2.85944	1.85944	1
0.0164602	1.85947	-2.85947	1.85947	1
0.0164612	1.8595	-2.8595	1.8595	1
0.0164622	1.85953	-2.85953	1.85953	1
0.0164632	1.85956	-2.85956	1.85956	1
0.0164642	1.8596	-2.8596	1.8596	1
0.0164652	1.85963	-2.85963	1.85963	1
0.0164662	1.85966	-2.85966	1.85966	1
0.0164672	1.85969	-2.85969	1.85969	1
0.0164682	1.85972	-2.85972	1.85972	1
0.0164692	1.85976	-2.85976	1.85976	1
0.0164702	1.85979	-2.85979	1.85979	1
0.0164712	1.85982	-2.85982	1.85982	1
0.0164722	1.85985	-2.85985	1.85985	1
0.0164732	1.85988	-2.85988	1.85988	1
0.0164742	1.85992	-2.85992	1.85992	1
0.0164752	1.85995	-2.85995	1.85995	1
0.0164762	1.85998	-2.85998	1.85998	1
0.0164772	1.86001	-2.86001	1.86001	1
0.0164782	1.86004	-2.86004	1.86004	1
0.0164792	1.86008	-2.86008	1.86008	1
0.0164802	1.86011	-2.86011	1.86011	1
0.0164812	1.86014	-2.86014	1.86014	1
0.0164822	1.86017	-2.86017	1.86017	1
0.0164832	1.86021	-2.86021	1.86021	1
0.0164842	1.86024	-2.86024	1.86024	1
0.0164852	1.86027	-2.86027	1.86027	1
0.0164862	1.8603	-2.8603	1.8603	1
0.0164872	1.86033	-2.86033	1.86033	1
0.0164882	1.86037	-2.86037	1.86037	1
0.0164892	1.8604	-2.8604	1.8604	1
0.0164902	1.86043	-2.86043	1.86043	1
0.0164912	1.86046	-2.86046	1.86046	1
0.0164922	1.86049	-2.86049	1.86049	1
0.0164932	1.86053	-2.86053	1.86053	1
0.0164942	1.86056	-2.86056	1.86056	1
0.0164952	1.86059	-2.86059	1.86059	1
0.0164962	1.86062	-2.86062	1.86062	1
0.0164972	1.86065	-2.86065	1.86065	1
0.0164982	1.86069	-2.86069	1.86069	1
0.0164992	1.86072	-2.86072	1.86072	1
0.0165002	1.86075	-2.86075	1.86075	1
0.0165012	1.86078	-2.86078	1.86078	1
0.0165022	1.86081	-2.86081	1.86081	1
0.0165032	1.86085	-2.86085	1.86085	1
0.0165042	1.86088	-2.86088	1.86088	1
0.0165052	1.86091	-2.86091	1.86091	1
0.0165062	1.86094	-2.86094	1.86094	1
0.0165072	1.86097	-2.86097	1.86097	1
0.0165082	1.86101	-2.86101	1.86101	1
0.0165092	1.86104	-2.86104	1.86104	1
0.0165102	1.86107	-2.86107	1.86107	1
0.0165112	1.8611	-2.8611	1.8611	1
0.0165122	1.86113	-2.86113	1.86113	1
0.0165132	1.86117	-2.86117	1.86117	1
0.0165142	1.8612	-2.8612	1.8612	1
0.0165152	1.86123	-2.86123	1.86123	1
0.0165162	1.86126	-2.86126	1.86126	1
0.0165172	1.86129	-2.86129	1.86129	1
0.0165182	1.86132	-2.86132	1.86132	1
0.0165192	1.86136	-2.86136	1.86136	1
0.0165202	1.86139	-2.86139	1.86139	1
0.0165212	1.86142	-2.86142	1.86142	1
0.0165222	1.86145	-2.86145	1.86145	1
0.0165232	1.86148	-2.86148	1.86148	1
0.0165242	1.86152	-2.86152	1.86152	1
0.0165252	1.86155	-2.86155	1.86155	1
0.0165262	1.86158	-2.86158	1.86158	1
0.0165272	1.86161	-2.86161	1.86161	1
0.0165282	1.86164	-2.86164	1.86164	1
0.0165292	1.86168	-2.86168	1.86168	1
0.0165302	1.86171	-2.86171	1.86171	1
0.0165312	1.86174	-2.86174	1.86174	1
0.0165322	1.86177	-2.86177	1.86177	1
0.0165332	1.8618	-2.8618	1.8618	1
0.0165342	1.86184	-2.86184	1.86184	1
0.0165352	1.86187	-2.86187	1.86187	1
0.0165362	1.8619	-2.8619	1.8619	1
0.0165372	1.86193	-2.86193	1.86193	1
0.0165382	1.86196	-2.86196	1.86196	1
0.0165392	1.86199	-2.86199	1.86199	1
0.0165402	1.86203	-2.86203	1.86203	1
0.0165412	1.86206	-2.86206	1.86206	1
0.0165422	1.86209	-2.86209	1.86209	1
0.0165432	1.86212	-2.86212	1.86212	1
0.0165442	1.86215	-2.86215	1.86215	1
0.0165452	1.86219	-2.86219	1.86219	1
0.0165462	1.86222	-2.86222	1.86222	1
0.0165472	1.86225	-2.86225	1.86225	1
0.0165482	1.86228	-2.86228	1.86228	1
0.0165492	1.86231	-2.86231	1.86231	1
0.0165502	1.86234	-2.86234	1.86234	1
0.0165512	1.86238	-2.86238	1.86238	1
0.0165522	1.86241	-2.86241	1.86241	1
0.0165532	1.86244	-2.86244	1.86244	1
0.0165542	1.86247	-2.86247	1.86247	1
0.0165552	1.8625	-2.8625	1.8625	1
0.0165562	1.86254	-2.86254	1.86254	1
0.0165572	1.86257	-2.86257	1.86257	1
0.0165582	1.8626	-2.8626	1.8626	1
0.0165592	1.86263	-2.86263	1.86263	1
0.0165602	1.86266	-2.86266	1.86266	1
0.0165612	1.86269	-2.86269	1.86269	1
0.0165622	1.86273	-2.86273	1.86273	1
0.0165632	1.86276	-2.86276	1.86276	1
0.0165642	1.86279	-2.86279	1.86279	1
0.0165653	1.86282	-2.86282	1.86282	1
0.0165663	1.86285	-2.86285	1.86285	1
0.0165673	1.86289	-2.86289	1.86289	1
0.0165683	1.86292	-2.86292	1.86292	1
0.0165693	1.86295	-2.86295	1.86295	1
0.0165703	1.86298	-2.86298	1.86298	1
0.0165713	1.86301	-2.86301	1.86301	1
0.0165723	1.86304	-2.86304	1.86304	1
0.0165733	1.86308	-2.86308	1.86308	1
0.0165743	1.86311	-2.86311	1.86311	1
0.0165753	1.86314	-2.86314	1.86314	1
0.0165763	1.86317	-2.86317	1.86317	1
0.0165773	1.8632	-2.8632	1.8632	1
0.0165783	1.86323	-2.86323	1.86323	1
0.0165793	1.86327	-2.86327	1.86327	1
0.0165803	1.8633	-2.8633	1.8633	1
0.0165813	1.86333	-2.86333	1.86333	1
0.0165823	1.86336	-2.86336	1.86336	1
0.0165833	1.86339	-2.86339	1.86339	1
0.0165843	1.86342	-2.86342	1.86342	1
0.0165853	1.86346	-2.86346	1.86346	1
0.0165863	1.86349	-2.86349	1.86349	1
0.0165873	1.86352	-2.86352	1.86352	1
0.0165883	1.86355	-2.86355	1.86355	1
0.0165893	1.86358	-2.86358	1.86358	1
0.0165903	1.86361	-2.86362	1.86361	1
0.0165913	1.86365	-2.86365	1.86365	1
0.0165923	1.86368	-2.86368	1.86368	1
0.0165933	1.86371	-2.86371	1.86371	1
0.0165943	1.86374	-2.86374	1.86374	1
0.0165953	1.86377	-2.86377	1.86377	1
0.0165963	1.8638	-2.86381	1.86381	1
0.0165973	1.86384	-2.86384	1.86384	1
0.0165983	1.86387	-2.86387	1.86387	1
0.0165993	1.8639	-2.8639	1.8639	1
0.0166003	1.86393	-2.86393	1.86393	1
0.0166013	1.86396	-2.86396	1.86396	1
0.0166023	1.86399	-2.86399	1.86399	1
0.0166033	1.86403	-2.86403	1.86403	1
0.0166043	1.86406	-2.86406	1.86406	1
0.0166053	1.86409	-2.86409	1.86409	1
0.0166063	1.86412	-2.86412	1.86412	1
0.0166073	1.86415	-2.86415	1.86415	1
0.0166083	1.86418	-2.86418	1.86418	1
0.0166093	1.86422	-2.86422	1.86422	1
0.0166103	1.86425	-2.86425	1.86425	1
0.0166113	1.86428	-2.86428	1.86428	1
0.0166123	1.86431	-2.86431	1.86431	1
0.0166133	1.86434	-2.86434	1.86434	1
0.0166143	1.86437	-2.86437	1.86437	1
0.0166153	1.86441	-2.86441	1.86441	1
0.0166163	1.86444	-2.86444	1.86444	1
0.0166173	1.86447	-2.86447	1.86447	1
0.0166183	1.8645	-2.8645	1.8645	1
0.0166193	1.86453	-2.86453	1.86453	1
0.0166203	1.86456	-2.86456	1.86456	1
0.0166213	1.8646	-2.8646	1.8646	1
0.0166223	1.86463	-2.86463	1.86463	1
0.0166233	1.86466	-2.86466	1.86466	1
0.0166243	1.86469	-2.86469	1.86469	1
0.0166253	1.86472	-2.86472	1.86472	1
0.0166263	1.86475	-2.86475	1.86475	1
0.0166273	1.86478	-2.86478	1.86478	1
0.0166283	1.86482	-2.86482	1.86482	1
0.0166293	1.86485	-2.86485	1.86485	1
0.0166303	1.86488	-2.86488	1.86488	1
0.0166313	1.86491	-2.86491	1.86491	1
0.0166323	1.86494	-2.86494	1.86494	1
0.0166333	1.86497	-2.86497	1.86497	1
0.0166343	1.86501	-2.86501	1.86501	1
0.0166353	1.86504	-2.86504	1.86504	1
0.0166363	1.86507	-2.86507	1.86507	1
0.0166373	1.8651	-2.8651	1.8651	1
0.0166383	1.86513	-2.86513	1.86513	1
0.0166393	1.86516	-2.86516	1.86516	1
0.0166403	1.86519	-2.86519	1.86519	1
0.0166413	1.86523	-2.86523	1.86523	1
0.0166423	1.86526	-2.86526	1.86526	1
0.0166433	1.86529	-2.86529	1.86529	1
0.0166443	1.86532	-2.86532	1.86532	1
0.0166453	1.86535	-2.86535	1.86535	1
0.0166463	1.86538	-2.86538	1.86538	1
0.0166473	1.86542	-2.86542	1.86542	1
0.0166483	1.86545	-2.86545	1.86545	1
0.0166493	1.86548	-2.86548	1.86548	1
0.0166503	1.86551	-2.86551	1.86551	1
0.0166513	1.86554	-2.86554	1.86554	1
0.0166523	1.86557	-2.86557	1.86557	1
0.0166533	1.8656	-2.8656	1.8656	1
0.0166543	1.86564	-2.86564	1.86564	1
0.0166553	1.86567	-2.86567	1.86567	1
0.0166563	1.8657	-2.8657	1.8657	1
0.0166573	1.86573	-2.86573	1.86573	1
0.0166583	1.86576	-2.86576	1.86576	1
0.0166593	1.86579	-2.86579	1.86579	1
0.0166603	1.86582	-2.86582	1.86582	1
0.0166613	1.86586	-2.86586	1.86586	1
0.0166623	1.86589	-2.86589	1.86589	1
0.0166633	1.86592	-2.86592	1.86592	1
0.0166643	1.86595	-2.86595	1.86595	1
0.0166653	1.86598	-2.86598	1.86598	1
0.0166663	1.86601	-2.86601	1.86601	1
0.0166673	1.86604	-2.86604	1.86604	1
0.0166683	1.86608	-2.86608	1.86608	1
0.0166693	1.86611	-2.86611	1.86611	1
0.0166703	1.86614	-2.86614	1.86614	1
0.0166713	1.86617	-2.86617	1.86617	1
0.0166723	1.8662	-2.8662	1.8662	1
0.0166733	1.86623	-2.86623	1.86623	1
0.0166743	1.86626	-2.86626	1.86626	1
0.0166753	1.8663	-2.8663	1.8663	1
0.0166763	1.86633	-2.86633	1.86633	1
0.0166773	1.86636	-2.86636	1.86636	1
0.0166783	1.86639	-2.86639	1.86639	1
0.0166793	1.86642	-2.86642	1.86642	1
0.0166803	1.86645	-2.86645	1.86645	1
0.0166813	1.86648	-2.86648	1.86648	1
0.0166823	1.86652	-2.86652	1.86652	1
0.0166833	1.86655	-2.86655	1.86655	1
0.0166843	1.86658	-2.86658	1.86658	1
0.0166853	1.86661	-2.86661	1.86661	1
0.0166863	1.86664	-2.86664	1.86664	1
