time	V(n002)	I(C1)	I(I1)	I(V1)
1.055407634703442e-01	3.411466e-01	5.902552e+01	1.000000e+00	-6.002552e+01
1.074938884703442e-01	4.536483e-01	5.595941e+01	1.000000e+00	-5.695941e+01
1.094470134703442e-01	5.593267e-01	5.205162e+01	1.000000e+00	-5.305162e+01
1.114001384703442e-01	6.565923e-01	4.736092e+01	1.000000e+00	-4.836092e+01
1.133532634703442e-01	7.439821e-01	4.195787e+01	1.000000e+00	-4.295787e+01
1.153063884703442e-01	8.201818e-01	3.592374e+01	1.000000e+00	-3.692374e+01
1.172595134703442e-01	8.840452e-01	2.934928e+01	1.000000e+00	-3.034928e+01
1.192126384703442e-01	9.346117e-01	2.233337e+01	1.000000e+00	-2.333337e+01
1.211657634703442e-01	9.711207e-01	1.498156e+01	1.000000e+00	-1.598156e+01
1.231188884703442e-01	9.930233e-01	7.404404e+00	1.000000e+00	-8.404404e+00
1.250720134703442e-01	9.999897e-01	-2.841184e-01	1.000000e+00	-7.158815e-01
1.270251384703442e-01	9.919155e-01	-7.968367e+00	1.000000e+00	6.968367e+00
1.289782634703442e-01	9.689219e-01	-1.553276e+01	1.000000e+00	1.453276e+01
1.309313884703442e-01	9.313548e-01	-2.286353e+01	1.000000e+00	2.186353e+01
1.328845134703442e-01	8.797793e-01	-2.985042e+01	1.000000e+00	2.885042e+01
1.348376384703442e-01	8.149711e-01	-3.638832e+01	1.000000e+00	3.538832e+01
1.367907634703442e-01	7.379049e-01	-4.237891e+01	1.000000e+00	4.137891e+01
1.387438884703442e-01	6.497400e-01	-4.773208e+01	1.000000e+00	4.673208e+01
1.406970134703442e-01	5.518024e-01	-5.236731e+01	1.000000e+00	5.136731e+01
1.426501384703442e-01	4.455651e-01	-5.621490e+01	1.000000e+00	5.521490e+01
1.446032634703442e-01	3.326262e-01	-5.921695e+01	1.000000e+00	5.821695e+01
1.465563884703442e-01	2.146842e-01	-6.132833e+01	1.000000e+00	6.032833e+01
1.485095134703442e-01	9.351320e-02	-6.251728e+01	1.000000e+00	6.151728e+01
1.504626384703442e-01	-2.906434e-02	-6.276591e+01	1.000000e+00	6.176591e+01
1.524157634703442e-01	-1.512047e-01	-6.207048e+01	1.000000e+00	6.107048e+01
1.543688884703442e-01	-2.710708e-01	-6.044145e+01	1.000000e+00	5.944145e+01
1.563220134703442e-01	-3.868598e-01	-5.790332e+01	1.000000e+00	5.690332e+01
1.582751384703442e-01	-4.968300e-01	-5.449428e+01	1.000000e+00	5.349428e+01
1.602282634703442e-01	-5.993275e-01	-5.026559e+01	1.000000e+00	4.926559e+01
1.621813884703442e-01	-6.928105e-01	-4.528086e+01	1.000000e+00	4.428086e+01
1.641345134703442e-01	-7.758730e-01	-3.961506e+01	1.000000e+00	3.861506e+01
1.660876384703442e-01	-8.472657e-01	-3.335342e+01	1.000000e+00	3.235342e+01
1.680407634703442e-01	-9.059146e-01	-2.659011e+01	1.000000e+00	2.559011e+01
1.699938884703442e-01	-9.509378e-01	-1.942686e+01	1.000000e+00	1.842686e+01
1.719470134703442e-01	-9.816580e-01	-1.197141e+01	1.000000e+00	1.097141e+01
1.739001384703442e-01	-9.976131e-01	-4.335902e+00	1.000000e+00	3.335902e+00
1.758532634703442e-01	-9.985632e-01	3.364823e+00	1.000000e+00	-4.364823e+00
1.778063884703442e-01	-9.844940e-01	1.101494e+01	1.000000e+00	-1.201494e+01
1.797595134703442e-01	-9.556171e-01	1.849938e+01	1.000000e+00	-1.949938e+01
1.817126384703442e-01	-9.123668e-01	2.570557e+01	1.000000e+00	-2.670557e+01
1.836657634703442e-01	-8.553936e-01	3.252513e+01	1.000000e+00	-3.352513e+01
1.856188884703442e-01	-7.855546e-01	3.885548e+01	1.000000e+00	-3.985548e+01
1.875720134703442e-01	-7.039001e-01	4.460140e+01	1.000000e+00	-4.560140e+01
1.895251384703442e-01	-6.116582e-01	4.967648e+01	1.000000e+00	-5.067648e+01
1.914782634703442e-01	-5.102165e-01	5.400438e+01	1.000000e+00	-5.500438e+01
1.934313884703442e-01	-4.011006e-01	5.752000e+01	1.000000e+00	-5.852000e+01
1.953845134703442e-01	-2.859518e-01	6.017047e+01	1.000000e+00	-6.117047e+01
1.973376384703442e-01	-1.665020e-01	6.191592e+01	1.000000e+00	-6.291592e+01
1.992907634703442e-01	-4.454790e-02	6.273009e+01	1.000000e+00	-6.373009e+01
