time	V(n001)	I(R1)	I(V1)
1.612048259703442e-01	-6.472871e-01	-6.466781e-01	6.466781e-01
1.631579509703442e-01	-7.357263e-01	-7.350340e-01	7.350340e-01
1.651110759703442e-01	-8.130995e-01	-8.123344e-01	8.123344e-01
1.670642009703442e-01	-8.782429e-01	-8.774165e-01	8.774165e-01
1.690173259703442e-01	-9.301767e-01	-9.293014e-01	9.293014e-01
1.709704509703442e-01	-9.681197e-01	-9.672088e-01	9.672088e-01
1.729235759703442e-01	-9.915015e-01	-9.905685e-01	9.905685e-01
1.748767009703442e-01	-9.999700e-01	-9.990291e-01	9.990291e-01
1.768298259703442e-01	-9.933981e-01	-9.924634e-01	9.924634e-01
1.787829509703442e-01	-9.718845e-01	-9.709700e-01	9.709700e-01
1.807360759703442e-01	-9.357529e-01	-9.348724e-01	9.348724e-01
1.826892009703442e-01	-8.855467e-01	-8.847135e-01	8.847135e-01
1.846423259703442e-01	-8.220211e-01	-8.212476e-01	8.212476e-01
1.865954509703442e-01	-7.461315e-01	-7.454294e-01	7.454294e-01
1.885485759703442e-01	-6.590194e-01	-6.583992e-01	6.583992e-01
1.905017009703442e-01	-5.619950e-01	-5.614662e-01	5.614662e-01
1.924548259703442e-01	-4.565177e-01	-4.560881e-01	4.560881e-01
1.944079509703442e-01	-3.441739e-01	-3.438501e-01	3.438501e-01
1.963610759703442e-01	-2.266535e-01	-2.264402e-01	2.264402e-01
1.983142009703442e-01	-1.057239e-01	-1.056244e-01	1.056244e-01
2.012438884703442e-01	7.807627e-02	7.800281e-02	-7.800281e-02
2.031970134703442e-01	1.995261e-01	1.993384e-01	-1.993384e-01
2.051501384703442e-01	3.179749e-01	3.176757e-01	-3.176757e-01
2.071032634703442e-01	4.316410e-01	4.312349e-01	-4.312349e-01
2.090563884703442e-01	5.388149e-01	5.383079e-01	-5.383079e-01
2.110095134703442e-01	6.378844e-01	6.372842e-01	-6.372842e-01
2.129626384703442e-01	7.273597e-01	7.266753e-01	-7.266753e-01
2.149157634703442e-01	8.058947e-01	8.051364e-01	-8.051364e-01
2.168688884703442e-01	8.723083e-01	8.714875e-01	-8.714875e-01
2.188220134703442e-01	9.256016e-01	9.247307e-01	-9.247307e-01
2.207751384703442e-01	9.649730e-01	9.640650e-01	-9.640650e-01
2.227282634703442e-01	9.898303e-01	9.888989e-01	-9.888989e-01
2.246813884703442e-01	9.997996e-01	9.988589e-01	-9.988589e-01
2.266345134703442e-01	9.947310e-01	9.937950e-01	-9.937950e-01
2.285876384703442e-01	9.747007e-01	9.737836e-01	-9.737836e-01
2.305407634703442e-01	9.400101e-01	9.391256e-01	-9.391256e-01
2.324938884703442e-01	8.911808e-01	8.903422e-01	-8.903422e-01
2.344470134703442e-01	8.289473e-01	8.281673e-01	-8.281673e-01
2.364001384703442e-01	7.542456e-01	7.535359e-01	-7.535359e-01
2.383532634703442e-01	6.681995e-01	6.675707e-01	-6.675707e-01
2.403063884703442e-01	5.721030e-01	5.715647e-01	-5.715647e-01
2.422595134703442e-01	4.674015e-01	4.669617e-01	-4.669617e-01
2.442126384703442e-01	3.556698e-01	3.553351e-01	-3.553351e-01
2.461657634703442e-01	2.385886e-01	2.383641e-01	-2.383641e-01
2.481188884703442e-01	1.179187e-01	1.178078e-01	-1.178078e-01
2.500720134703442e-01	-4.524725e-03	-4.520467e-03	4.520467e-03
2.520251384703442e-01	-1.269001e-01	-1.267807e-01	1.267807e-01
2.539782634703442e-01	-2.473668e-01	-2.471341e-01	2.471341e-01
2.559313884703442e-01	-3.641129e-01	-3.637703e-01	3.637703e-01
2.578845134703442e-01	-4.753824e-01	-4.749351e-01	4.749351e-01
2.598376384703442e-01	-5.795016e-01	-5.789564e-01	5.789564e-01
2.617907634703442e-01	-6.749047e-01	-6.742697e-01	6.742697e-01
2.637438884703442e-01	-7.601565e-01	-7.594413e-01	7.594413e-01
2.656970134703442e-01	-8.339749e-01	-8.331902e-01	8.331902e-01
2.676501384703442e-01	-8.952495e-01	-8.944072e-01	8.944072e-01
2.696032634703442e-01	-9.430588e-01	-9.421714e-01	9.421714e-01
2.715563884703442e-01	-9.766835e-01	-9.757645e-01	9.757645e-01
2.735095134703442e-01	-9.956180e-01	-9.946812e-01	9.946812e-01
2.754626384703442e-01	-9.995775e-01	-9.986370e-01	9.986370e-01
2.774157634703442e-01	-9.885024e-01	-9.875723e-01	9.875723e-01
2.793688884703442e-01	-9.625594e-01	-9.616537e-01	9.616537e-01
2.813220134703442e-01	-9.221385e-01	-9.212708e-01	9.212708e-01
2.832751384703442e-01	-8.678479e-01	-8.670313e-01	8.670313e-01
2.852282634703442e-01	-8.005039e-01	-7.997507e-01	7.997507e-01
2.871813884703442e-01	-7.211197e-01	-7.204412e-01	7.204412e-01
2.891345134703442e-01	-6.308891e-01	-6.302955e-01	6.302955e-01
2.910876384703442e-01	-5.311694e-01	-5.306696e-01	5.306696e-01
2.930407634703442e-01	-4.234604e-01	-4.230620e-01	4.230620e-01
2.949938884703442e-01	-3.093822e-01	-3.090911e-01	3.090911e-01
2.969470134703442e-01	-1.906505e-01	-1.904711e-01	1.904711e-01
2.989001384703442e-01	-6.905135e-02	-6.898637e-02	6.898637e-02
3.008532634703442e-01	5.358645e-02	5.353602e-02	-5.353602e-02
3.028063884703442e-01	1.754182e-01	1.752532e-01	-1.752532e-01
3.047595134703442e-01	2.946116e-01	2.943344e-01	-2.943344e-01
3.067126384703442e-01	4.093737e-01	4.089885e-01	-4.089885e-01
3.086657634703442e-01	5.179785e-01	5.174911e-01	-5.174911e-01
3.106188884703442e-01	6.187924e-01	6.182101e-01	-6.182101e-01
3.125720134703442e-01	7.102990e-01	7.096307e-01	-7.096307e-01
3.145251384703442e-01	7.911221e-01	7.903777e-01	-7.903777e-01
3.164782634703442e-01	8.600460e-01	8.592368e-01	-8.592368e-01
3.184313884703442e-01	9.160340e-01	9.151720e-01	-9.151720e-01
3.203845134703442e-01	9.582440e-01	9.573424e-01	-9.573424e-01
3.223376384703442e-01	9.860411e-01	9.851133e-01	-9.851133e-01
3.242907634703442e-01	9.990072e-01	9.980672e-01	-9.980672e-01
3.262438884703442e-01	9.969474e-01	9.960093e-01	-9.960093e-01
3.281970134703442e-01	9.798925e-01	9.789705e-01	-9.789705e-01
3.301501384703442e-01	9.480991e-01	9.472070e-01	-9.472070e-01
3.321032634703442e-01	9.020455e-01	9.011967e-01	-9.011967e-01
3.340563884703442e-01	8.424242e-01	8.416315e-01	-8.416315e-01
3.360095134703442e-01	7.701321e-01	7.694074e-01	-7.694074e-01
3.379626384703442e-01	6.862565e-01	6.856108e-01	-6.856108e-01
3.399157634703442e-01	5.920589e-01	5.915018e-01	-5.915018e-01
3.418688884703442e-01	4.889562e-01	4.884962e-01	-4.884962e-01
3.438220134703442e-01	3.784992e-01	3.781431e-01	-3.781431e-01
3.457751384703442e-01	2.623492e-01	2.621024e-01	-2.621024e-01
3.477282634703442e-01	1.422532e-01	1.421194e-01	-1.421194e-01
3.496813884703442e-01	2.001762e-02	1.999878e-02	-1.999878e-02
3.516345134703442e-01	-1.025191e-01	-1.024226e-01	1.024226e-01
3.535876384703442e-01	-2.235138e-01	-2.233035e-01	2.233035e-01
3.555407634703442e-01	-3.411466e-01	-3.408256e-01	3.408256e-01
3.574938884703442e-01	-4.536483e-01	-4.532215e-01	4.532215e-01
3.594470134703442e-01	-5.593267e-01	-5.588004e-01	5.588004e-01
3.614001384703442e-01	-6.565923e-01	-6.559745e-01	6.559745e-01
3.633532634703442e-01	-7.439821e-01	-7.432821e-01	7.432821e-01
3.653063884703442e-01	-8.201818e-01	-8.194101e-01	8.194101e-01
3.672595134703442e-01	-8.840452e-01	-8.832133e-01	8.832133e-01
3.692126384703442e-01	-9.346117e-01	-9.337323e-01	9.337323e-01
3.711657634703442e-01	-9.711207e-01	-9.702070e-01	9.702070e-01
3.731188884703442e-01	-9.930233e-01	-9.920889e-01	9.920889e-01
3.750720134703442e-01	-9.999897e-01	-9.990488e-01	9.990488e-01
3.770251384703442e-01	-9.919155e-01	-9.909822e-01	9.909822e-01
3.789782634703442e-01	-9.689219e-01	-9.680102e-01	9.680102e-01
3.809313884703442e-01	-9.313548e-01	-9.304785e-01	9.304785e-01
3.828845134703442e-01	-8.797793e-01	-8.789514e-01	8.789514e-01
3.848376384703442e-01	-8.149711e-01	-8.142042e-01	8.142042e-01
3.867907634703442e-01	-7.379049e-01	-7.372106e-01	7.372106e-01
3.887438884703442e-01	-6.497400e-01	-6.491286e-01	6.491286e-01
3.906970134703442e-01	-5.518024e-01	-5.512832e-01	5.512832e-01
3.926501384703442e-01	-4.455651e-01	-4.451459e-01	4.451459e-01
3.946032634703442e-01	-3.326262e-01	-3.323132e-01	3.323132e-01
3.965563884703442e-01	-2.146842e-01	-2.144822e-01	2.144822e-01
3.985095134703442e-01	-9.351320e-02	-9.342521e-02	9.342521e-02
4.014392009703442e-01	9.030447e-02	9.021950e-02	-9.021950e-02
4.033923259703442e-01	2.115359e-01	2.113368e-01	-2.113368e-01
4.053454509703442e-01	3.295856e-01	3.292755e-01	-3.292755e-01
4.072985759703442e-01	4.426780e-01	4.422615e-01	-4.422615e-01
4.092517009703442e-01	5.491121e-01	5.485954e-01	-5.485954e-01
4.112048259703442e-01	6.472871e-01	6.466781e-01	-6.466781e-01
4.131579509703442e-01	7.357263e-01	7.350340e-01	-7.350340e-01
4.151110759703442e-01	8.130995e-01	8.123344e-01	-8.123344e-01
4.170642009703442e-01	8.782429e-01	8.774165e-01	-8.774165e-01
4.190173259703442e-01	9.301767e-01	9.293014e-01	-9.293014e-01
4.209704509703442e-01	9.681197e-01	9.672088e-01	-9.672088e-01
4.229235759703442e-01	9.915015e-01	9.905685e-01	-9.905685e-01
4.248767009703442e-01	9.999700e-01	9.990291e-01	-9.990291e-01
4.268298259703442e-01	9.933981e-01	9.924634e-01	-9.924634e-01
4.287829509703442e-01	9.718845e-01	9.709700e-01	-9.709700e-01
4.307360759703442e-01	9.357529e-01	9.348724e-01	-9.348724e-01
4.326892009703442e-01	8.855467e-01	8.847135e-01	-8.847135e-01
4.346423259703442e-01	8.220211e-01	8.212476e-01	-8.212476e-01
4.365954509703442e-01	7.461315e-01	7.454294e-01	-7.454294e-01
4.385485759703442e-01	6.590194e-01	6.583992e-01	-6.583992e-01
4.405017009703442e-01	5.619950e-01	5.614662e-01	-5.614662e-01
4.424548259703442e-01	4.565177e-01	4.560881e-01	-4.560881e-01
4.444079509703442e-01	3.441739e-01	3.438501e-01	-3.438501e-01
4.463610759703442e-01	2.266535e-01	2.264402e-01	-2.264402e-01
4.483142009703442e-01	1.057239e-01	1.056244e-01	-1.056244e-01
4.512438884703442e-01	-7.807627e-02	-7.800281e-02	7.800281e-02
4.531970134703442e-01	-1.995261e-01	-1.993384e-01	1.993384e-01
4.551501384703442e-01	-3.179749e-01	-3.176757e-01	3.176757e-01
4.571032634703442e-01	-4.316410e-01	-4.312349e-01	4.312349e-01
4.590563884703442e-01	-5.388149e-01	-5.383079e-01	5.383079e-01
4.610095134703442e-01	-6.378844e-01	-6.372842e-01	6.372842e-01
4.629626384703442e-01	-7.273597e-01	-7.266753e-01	7.266753e-01
4.649157634703442e-01	-8.058947e-01	-8.051364e-01	8.051364e-01
4.668688884703442e-01	-8.723083e-01	-8.714875e-01	8.714875e-01
4.688220134703442e-01	-9.256016e-01	-9.247307e-01	9.247307e-01
4.707751384703442e-01	-9.649730e-01	-9.640650e-01	9.640650e-01
4.727282634703442e-01	-9.898303e-01	-9.888989e-01	9.888989e-01
4.746813884703442e-01	-9.997996e-01	-9.988589e-01	9.988589e-01
4.766345134703442e-01	-9.947310e-01	-9.937950e-01	9.937950e-01
4.785876384703442e-01	-9.747007e-01	-9.737836e-01	9.737836e-01
4.805407634703442e-01	-9.400101e-01	-9.391256e-01	9.391256e-01
4.824938884703442e-01	-8.911808e-01	-8.903422e-01	8.903422e-01
4.844470134703442e-01	-8.289473e-01	-8.281673e-01	8.281673e-01
4.864001384703442e-01	-7.542456e-01	-7.535359e-01	7.535359e-01
