time	V(n002)	I(L1)	I(I1)	I(V1)
8.955078786131443e-02	-6.103825e-01	3.317975e-03	1.000000e+00	-1.003318e+00
9.052735036131443e-02	-5.606613e-01	2.746712e-03	1.000000e+00	-1.002747e+00
9.150391286131443e-02	-5.088298e-01	2.224988e-03	1.000000e+00	-1.002225e+00
9.248047536131443e-02	-4.550832e-01	1.754769e-03	1.000000e+00	-1.001755e+00
9.345703786131443e-02	-3.996238e-01	1.337822e-03	1.000000e+00	-1.001338e+00
9.443360036131443e-02	-3.426603e-01	9.757187e-04	1.000000e+00	-1.000976e+00
9.541016286131443e-02	-2.844071e-01	6.698208e-04	1.000000e+00	-1.000670e+00
9.638672536131443e-02	-2.250835e-01	4.212795e-04	1.000000e+00	-1.000421e+00
9.736328786131443e-02	-1.649127e-01	2.310306e-04	1.000000e+00	-1.000231e+00
9.833985036131443e-02	-1.041212e-01	9.978979e-05	1.000000e+00	-1.000100e+00
9.931641286131443e-02	-4.293784e-02	2.805111e-05	1.000000e+00	-1.000028e+00
1.002929753613144e-01	1.840715e-02	1.608448e-05	1.000000e+00	-1.000016e+00
1.012695378613144e-01	7.968285e-02	6.393488e-05	1.000000e+00	-1.000064e+00
1.022461003613144e-01	1.406586e-01	1.714222e-04	1.000000e+00	-1.000171e+00
1.032226628613144e-01	2.011050e-01	3.381417e-04	1.000000e+00	-1.000338e+00
1.041992253613144e-01	2.607945e-01	5.634659e-04	1.000000e+00	-1.000563e+00
1.051757878613144e-01	3.195024e-01	8.465468e-04	1.000000e+00	-1.000847e+00
1.061523503613144e-01	3.770078e-01	1.186319e-03	1.000000e+00	-1.001186e+00
1.071289128613144e-01	4.330942e-01	1.581503e-03	1.000000e+00	-1.001581e+00
1.081054753613144e-01	4.875505e-01	2.030612e-03	1.000000e+00	-1.002031e+00
1.090820378613144e-01	5.401718e-01	2.531955e-03	1.000000e+00	-1.002532e+00
1.100586003613144e-01	5.907601e-01	3.083645e-03	1.000000e+00	-1.003084e+00
1.110351628613144e-01	6.391248e-01	3.683607e-03	1.000000e+00	-1.003684e+00
1.120117253613144e-01	6.850840e-01	4.329580e-03	1.000000e+00	-1.004330e+00
1.129882878613144e-01	7.284647e-01	5.019136e-03	1.000000e+00	-1.005019e+00
1.139648503613144e-01	7.691036e-01	5.749677e-03	1.000000e+00	-1.005750e+00
1.149414128613144e-01	8.068478e-01	6.518454e-03	1.000000e+00	-1.006518e+00
1.168945378613144e-01	8.730952e-01	8.159011e-03	1.000000e+00	-1.008159e+00
