time	V(n002)	V(n001)	V(n004)	I(C2)	I(C1)	I(V2)	I(V1)
6.452513847034425e-02	-7.911221e-01	2.088779e-01	-6.185552e-02	-1.920375e+01	-1.920375e+01	1.920375e+01	1.920375e+01
6.550170097034425e-02	-8.271406e-01	1.728594e-01	-7.984784e-02	-1.764452e+01	-1.764452e+01	1.764452e+01	1.764452e+01
6.647826347034425e-02	-8.600460e-01	1.399540e-01	-9.628505e-02	-1.601887e+01	-1.601887e+01	1.601887e+01	1.601887e+01
6.745482597034425e-02	-8.897144e-01	1.102857e-01	-1.111053e-01	-1.433293e+01	-1.433293e+01	1.433293e+01	1.433293e+01
6.843138847034425e-02	-9.160340e-01	8.396599e-02	-1.242527e-01	-1.259304e+01	-1.259304e+01	1.259304e+01	1.259304e+01
6.940795097034425e-02	-9.389059e-01	6.109409e-02	-1.356779e-01	-1.080576e+01	-1.080576e+01	1.080576e+01	1.080576e+01
7.038451347034425e-02	-9.582440e-01	4.175600e-02	-1.453378e-01	-8.977805e+00	-8.977805e+00	8.977805e+00	8.977805e+00
7.136107597034425e-02	-9.739755e-01	2.602453e-02	-1.531962e-01	-7.116061e+00	-7.116061e+00	7.116061e+00	7.116061e+00
7.233763847034425e-02	-9.860411e-01	1.395889e-02	-1.592233e-01	-5.227534e+00	-5.227534e+00	5.227534e+00	5.227534e+00
7.331420097034425e-02	-9.943955e-01	5.604479e-03	-1.633966e-01	-3.319331e+00	-3.319331e+00	3.319331e+00	3.319331e+00
7.429076347034425e-02	-9.990072e-01	9.927504e-04	-1.657003e-01	-1.398636e+00	-1.398636e+00	1.398636e+00	1.398636e+00
7.526732597034425e-02	-9.998589e-01	1.410593e-04	-1.661257e-01	5.273244e-01	5.273244e-01	-5.273244e-01	-5.273244e-01
7.624388847034425e-02	-9.969474e-01	3.052612e-03	-1.646713e-01	2.451300e+00	2.451300e+00	-2.451300e+00	-2.451300e+00
7.722045097034425e-02	-9.902835e-01	9.716448e-03	-1.613425e-01	4.366049e+00	4.366049e+00	-4.366049e+00	-4.366049e+00
7.819701347034425e-02	-9.798925e-01	2.010749e-02	-1.561519e-01	6.264365e+00	6.264365e+00	-6.264365e+00	-6.264365e+00
7.917357597034425e-02	-9.658134e-01	3.418662e-02	-1.491190e-01	8.139104e+00	8.139104e+00	-8.139104e+00	-8.139104e+00
8.015013847034425e-02	-9.480991e-01	5.190086e-02	-1.402702e-01	9.983209e+00	9.983209e+00	-9.983209e+00	-9.983209e+00
8.112670097034425e-02	-9.268165e-01	7.318353e-02	-1.296389e-01	1.178974e+01	1.178974e+01	-1.178974e+01	-1.178974e+01
8.210326347034425e-02	-9.020455e-01	9.795453e-02	-1.172650e-01	1.355190e+01	1.355190e+01	-1.355190e+01	-1.355190e+01
8.307982597034425e-02	-8.738794e-01	1.261206e-01	-1.031952e-01	1.526305e+01	1.526305e+01	-1.526305e+01	-1.526305e+01
8.405638847034425e-02	-8.424242e-01	1.575758e-01	-8.748243e-02	1.691675e+01	1.691675e+01	-1.691675e+01	-1.691675e+01
8.503295097034425e-02	-8.077983e-01	1.922017e-01	-7.018578e-02	1.850678e+01	1.850678e+01	-1.850678e+01	-1.850678e+01
8.600951347034425e-02	-7.701321e-01	2.298679e-01	-5.137038e-02	2.002716e+01	2.002716e+01	-2.002716e+01	-2.002716e+01
8.698607597034425e-02	-7.295672e-01	2.704328e-01	-3.110705e-02	2.147216e+01	2.147216e+01	-2.147216e+01	-2.147216e+01
8.796263847034425e-02	-6.862565e-01	3.137435e-01	-9.472036e-03	2.283634e+01	2.283634e+01	-2.283634e+01	-2.283634e+01
8.893920097034425e-02	-6.403628e-01	3.596372e-01	1.345322e-02	2.411457e+01	2.411457e+01	-2.411457e+01	-2.411457e+01
8.991576347034425e-02	-5.920589e-01	4.079411e-01	3.758242e-02	2.530204e+01	2.530204e+01	-2.530204e+01	-2.530204e+01
9.089232597034425e-02	-5.415267e-01	4.584733e-01	6.282477e-02	2.639428e+01	2.639428e+01	-2.639428e+01	-2.639428e+01
9.186888847034425e-02	-4.889562e-01	5.110437e-01	8.908525e-02	2.738718e+01	2.738718e+01	-2.738718e+01	-2.738718e+01
9.284545097034425e-02	-4.345455e-01	5.654545e-01	1.162650e-01	2.827700e+01	2.827700e+01	-2.827700e+01	-2.827700e+01
9.479857597034425e-02	-3.210284e-01	6.789716e-01	1.729702e-01	2.973440e+01	2.973440e+01	-2.973440e+01	-2.973440e+01
9.675170097034425e-02	-2.026826e-01	7.973174e-01	2.320874e-01	3.074457e+01	3.074457e+01	-3.074457e+01	-3.074457e+01
9.870482597034425e-02	-8.128840e-02	9.187116e-01	2.927274e-01	3.129231e+01	3.129231e+01	-3.129231e+01	-3.129231e+01
1.006579509703442e-01	4.132850e-02	1.041329e+00	3.539782e-01	3.136939e+01	3.136939e+01	-3.136939e+01	-3.136939e+01
1.026110759703442e-01	1.633238e-01	1.163324e+00	4.149184e-01	3.097465e+01	3.097465e+01	-3.097465e+01	-3.097465e+01
1.045642009703442e-01	2.828625e-01	1.282863e+00	4.746315e-01	3.011401e+01	3.011401e+01	-3.011401e+01	-3.011401e+01
1.065173259703442e-01	3.981467e-01	1.398147e+00	5.322194e-01	2.880043e+01	2.880043e+01	-2.880043e+01	-2.880043e+01
1.084704509703442e-01	5.074425e-01	1.507442e+00	5.868158e-01	2.705367e+01	2.705367e+01	-2.705367e+01	-2.705367e+01
1.104235759703442e-01	6.091058e-01	1.609106e+00	6.375996e-01	2.489999e+01	2.489999e+01	-2.489999e+01	-2.489999e+01
1.123767009703442e-01	7.016076e-01	1.701608e+00	6.838070e-01	2.237180e+01	2.237180e+01	-2.237180e+01	-2.237180e+01
1.143298259703442e-01	7.835566e-01	1.783557e+00	7.247429e-01	1.950711e+01	1.950711e+01	-1.950711e+01	-1.950711e+01
