time	V(n001)	V(n002)	I(R2)	I(R1)	I(V1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.288144243348923e-04	2.697828e-02	1.348154e-02	1.348154e-02	1.348154e-02	-1.348154e-02
8.576288486697847e-04	5.389171e-02	2.692900e-02	2.692900e-02	2.692900e-02	-2.692900e-02
1.286443273004677e-03	8.074031e-02	4.034236e-02	4.034236e-02	4.034236e-02	-4.034236e-02
1.715257697339569e-03	1.075241e-01	5.372164e-02	5.372164e-02	5.372164e-02	-5.372164e-02
2.144072121674462e-03	1.342430e-01	6.706683e-02	6.706683e-02	6.706683e-02	-6.706683e-02
2.572886546009354e-03	1.608971e-01	8.037793e-02	8.037793e-02	8.037793e-02	-8.037793e-02
3.001700970344245e-03	1.874863e-01	9.365494e-02	9.365494e-02	9.365494e-02	-9.365494e-02
4.954825970344245e-03	3.063163e-01	1.530140e-01	1.530140e-01	1.530140e-01	-1.530140e-01
6.907950970344245e-03	4.205390e-01	2.100717e-01	2.100717e-01	2.100717e-01	-2.100717e-01
8.861075970344245e-03	5.284365e-01	2.639696e-01	2.639696e-01	2.639696e-01	-2.639696e-01
1.081420097034425e-02	6.283857e-01	3.138972e-01	3.138972e-01	3.138972e-01	-3.138972e-01
1.276732597034425e-02	7.188835e-01	3.591035e-01	3.591035e-01	3.591035e-01	-3.591035e-01
1.472045097034425e-02	7.985685e-01	3.989086e-01	3.989086e-01	3.989086e-01	-3.989086e-01
1.667357597034425e-02	8.662424e-01	4.327137e-01	4.327137e-01	4.327137e-01	-4.327137e-01
1.862670097034425e-02	9.208872e-01	4.600103e-01	4.600103e-01	4.600103e-01	-4.600103e-01
2.057982597034425e-02	9.616809e-01	4.803880e-01	4.803880e-01	4.803880e-01	-4.803880e-01
2.253295097034425e-02	9.880101e-01	4.935402e-01	4.935402e-01	4.935402e-01	-4.935402e-01
2.448607597034425e-02	9.994787e-01	4.992691e-01	4.992691e-01	4.992691e-01	-4.992691e-01
2.643920097034425e-02	9.959142e-01	4.974886e-01	4.974886e-01	4.974886e-01	-4.974886e-01
2.839232597034425e-02	9.773703e-01	4.882253e-01	4.882253e-01	4.882253e-01	-4.882253e-01
3.034545097034425e-02	9.441257e-01	4.716187e-01	4.716187e-01	4.716187e-01	-4.716187e-01
3.229857597034425e-02	8.966807e-01	4.479185e-01	4.479185e-01	4.479185e-01	-4.479185e-01
3.425170097034425e-02	8.357487e-01	4.174811e-01	4.174811e-01	4.174811e-01	-4.174811e-01
3.620482597034425e-02	7.622463e-01	3.807645e-01	3.807645e-01	3.807645e-01	-3.807645e-01
3.815795097034425e-02	6.772790e-01	3.383209e-01	3.383209e-01	3.383209e-01	-3.383209e-01
4.011107597034425e-02	5.821248e-01	2.907885e-01	2.907885e-01	2.907885e-01	-2.907885e-01
4.206420097034425e-02	4.782149e-01	2.388825e-01	2.388825e-01	2.388825e-01	-2.388825e-01
4.401732597034425e-02	3.671122e-01	1.833834e-01	1.833834e-01	1.833834e-01	-1.833834e-01
4.597045097034425e-02	2.504877e-01	1.251260e-01	1.251260e-01	1.251260e-01	-1.251260e-01
4.792357597034425e-02	1.300958e-01	6.498668e-02	6.498668e-02	6.498668e-02	-6.498668e-02
4.987670097034425e-02	7.747029e-03	3.869870e-03	3.869870e-03	3.869870e-03	-3.869870e-03
5.182982597034425e-02	-1.147182e-01	-5.730515e-02	-5.730515e-02	-5.730515e-02	5.730515e-02
5.378295097034425e-02	-2.354580e-01	-1.176182e-01	-1.176182e-01	-1.176182e-01	1.176182e-01
5.573607597034425e-02	-3.526563e-01	-1.761622e-01	-1.761622e-01	-1.761622e-01	1.761622e-01
5.768920097034425e-02	-4.645503e-01	-2.320566e-01	-2.320566e-01	-2.320566e-01	2.320566e-01
5.964232597034425e-02	-5.694571e-01	-2.844606e-01	-2.844606e-01	-2.844606e-01	2.844606e-01
6.159545097034425e-02	-6.657986e-01	-3.325861e-01	-3.325861e-01	-3.325861e-01	3.325861e-01
6.354857597034425e-02	-7.521260e-01	-3.757091e-01	-3.757091e-01	-3.757091e-01	3.757091e-01
6.550170097034425e-02	-8.271406e-01	-4.131812e-01	-4.131812e-01	-4.131812e-01	4.131812e-01
6.745482597034425e-02	-8.897144e-01	-4.444386e-01	-4.444386e-01	-4.444386e-01	4.444386e-01
6.940795097034425e-02	-9.389059e-01	-4.690112e-01	-4.690112e-01	-4.690112e-01	4.690112e-01
7.136107597034425e-02	-9.739755e-01	-4.865295e-01	-4.865295e-01	-4.865295e-01	4.865295e-01
7.331420097034425e-02	-9.943955e-01	-4.967299e-01	-4.967299e-01	-4.967299e-01	4.967299e-01
7.526732597034425e-02	-9.998589e-01	-4.994591e-01	-4.994591e-01	-4.994591e-01	4.994591e-01
7.722045097034425e-02	-9.902835e-01	-4.946759e-01	-4.946759e-01	-4.946759e-01	4.946759e-01
7.917357597034425e-02	-9.658134e-01	-4.824523e-01	-4.824523e-01	-4.824523e-01	4.824523e-01
8.112670097034425e-02	-9.268165e-01	-4.629722e-01	-4.629722e-01	-4.629722e-01	4.629722e-01
8.307982597034425e-02	-8.738794e-01	-4.365286e-01	-4.365286e-01	-4.365286e-01	4.365286e-01
8.503295097034425e-02	-8.077983e-01	-4.035191e-01	-4.035191e-01	-4.035191e-01	4.035191e-01
8.698607597034425e-02	-7.295672e-01	-3.644404e-01	-3.644404e-01	-3.644404e-01	3.644404e-01
8.893920097034425e-02	-6.403628e-01	-3.198801e-01	-3.198801e-01	-3.198801e-01	3.198801e-01
9.089232597034425e-02	-5.415267e-01	-2.705086e-01	-2.705086e-01	-2.705086e-01	2.705086e-01
9.284545097034425e-02	-4.345455e-01	-2.170683e-01	-2.170683e-01	-2.170683e-01	2.170683e-01
9.479857597034425e-02	-3.210284e-01	-1.603631e-01	-1.603631e-01	-1.603631e-01	1.603631e-01
9.675170097034425e-02	-2.026826e-01	-1.012460e-01	-1.012460e-01	-1.012460e-01	1.012460e-01
9.870482597034425e-02	-8.128840e-02	-4.060595e-02	-4.060595e-02	-4.060595e-02	4.060595e-02
1.016345134703442e-01	1.025191e-01	5.121130e-02	5.121130e-02	5.121130e-02	-5.121130e-02
1.035876384703442e-01	2.235138e-01	1.116517e-01	1.116517e-01	1.116517e-01	-1.116517e-01
1.055407634703442e-01	3.411466e-01	1.704128e-01	1.704128e-01	1.704128e-01	-1.704128e-01
1.074938884703442e-01	4.536483e-01	2.266107e-01	2.266107e-01	2.266107e-01	-2.266107e-01
1.094470134703442e-01	5.593267e-01	2.794002e-01	2.794002e-01	2.794002e-01	-2.794002e-01
1.114001384703442e-01	6.565923e-01	3.279873e-01	3.279873e-01	3.279873e-01	-3.279873e-01
1.133532634703442e-01	7.439821e-01	3.716410e-01	3.716410e-01	3.716410e-01	-3.716410e-01
1.153063884703442e-01	8.201818e-01	4.097050e-01	4.097050e-01	4.097050e-01	-4.097050e-01
1.172595134703442e-01	8.840452e-01	4.416067e-01	4.416067e-01	4.416067e-01	-4.416067e-01
1.192126384703442e-01	9.346117e-01	4.668661e-01	4.668661e-01	4.668661e-01	-4.668661e-01
1.211657634703442e-01	9.711207e-01	4.851035e-01	4.851035e-01	4.851035e-01	-4.851035e-01
1.231188884703442e-01	9.930233e-01	4.960445e-01	4.960445e-01	4.960445e-01	-4.960445e-01
1.250720134703442e-01	9.999897e-01	4.995244e-01	4.995244e-01	4.995244e-01	-4.995244e-01
1.270251384703442e-01	9.919155e-01	4.954911e-01	4.954911e-01	4.954911e-01	-4.954911e-01
1.289782634703442e-01	9.689219e-01	4.840051e-01	4.840051e-01	4.840051e-01	-4.840051e-01
1.309313884703442e-01	9.313548e-01	4.652392e-01	4.652392e-01	4.652392e-01	-4.652392e-01
1.328845134703442e-01	8.797793e-01	4.394757e-01	4.394757e-01	4.394757e-01	-4.394757e-01
1.348376384703442e-01	8.149711e-01	4.071021e-01	4.071021e-01	4.071021e-01	-4.071021e-01
1.367907634703442e-01	7.379049e-01	3.686053e-01	3.686053e-01	3.686053e-01	-3.686053e-01
1.387438884703442e-01	6.497400e-01	3.245643e-01	3.245643e-01	3.245643e-01	-3.245643e-01
1.406970134703442e-01	5.518024e-01	2.756416e-01	2.756416e-01	2.756416e-01	-2.756416e-01
1.426501384703442e-01	4.455651e-01	2.225729e-01	2.225729e-01	2.225729e-01	-2.225729e-01
1.446032634703442e-01	3.326262e-01	1.661566e-01	1.661566e-01	1.661566e-01	-1.661566e-01
1.465563884703442e-01	2.146842e-01	1.072411e-01	1.072411e-01	1.072411e-01	-1.072411e-01
1.485095134703442e-01	9.351320e-02	4.671260e-02	4.671260e-02	4.671260e-02	-4.671260e-02
1.514392009703442e-01	-9.030447e-02	-4.510975e-02	-4.510975e-02	-4.510975e-02	4.510975e-02
1.533923259703442e-01	-2.115359e-01	-1.056684e-01	-1.056684e-01	-1.056684e-01	1.056684e-01
1.553454509703442e-01	-3.295856e-01	-1.646377e-01	-1.646377e-01	-1.646377e-01	1.646377e-01
1.572985759703442e-01	-4.426780e-01	-2.211307e-01	-2.211307e-01	-2.211307e-01	2.211307e-01
1.592517009703442e-01	-5.491121e-01	-2.742977e-01	-2.742977e-01	-2.742977e-01	2.742977e-01
1.612048259703442e-01	-6.472871e-01	-3.233390e-01	-3.233390e-01	-3.233390e-01	3.233390e-01
1.631579509703442e-01	-7.357263e-01	-3.675170e-01	-3.675170e-01	-3.675170e-01	3.675170e-01
1.651110759703442e-01	-8.130995e-01	-4.061672e-01	-4.061672e-01	-4.061672e-01	4.061672e-01
1.670642009703442e-01	-8.782429e-01	-4.387082e-01	-4.387082e-01	-4.387082e-01	4.387082e-01
1.690173259703442e-01	-9.301767e-01	-4.646507e-01	-4.646507e-01	-4.646507e-01	4.646507e-01
1.709704509703442e-01	-9.681197e-01	-4.836044e-01	-4.836044e-01	-4.836044e-01	4.836044e-01
1.729235759703442e-01	-9.915015e-01	-4.952843e-01	-4.952843e-01	-4.952843e-01	4.952843e-01
1.748767009703442e-01	-9.999700e-01	-4.995145e-01	-4.995145e-01	-4.995145e-01	4.995145e-01
1.768298259703442e-01	-9.933981e-01	-4.962317e-01	-4.962317e-01	-4.962317e-01	4.962317e-01
1.787829509703442e-01	-9.718845e-01	-4.854850e-01	-4.854850e-01	-4.854850e-01	4.854850e-01
1.807360759703442e-01	-9.357529e-01	-4.674362e-01	-4.674362e-01	-4.674362e-01	4.674362e-01
1.826892009703442e-01	-8.855467e-01	-4.423567e-01	-4.423567e-01	-4.423567e-01	4.423567e-01
1.846423259703442e-01	-8.220211e-01	-4.106238e-01	-4.106238e-01	-4.106238e-01	4.106238e-01
1.865954509703442e-01	-7.461315e-01	-3.727147e-01	-3.727147e-01	-3.727147e-01	3.727147e-01
1.885485759703442e-01	-6.590194e-01	-3.291996e-01	-3.291996e-01	-3.291996e-01	3.291996e-01
1.905017009703442e-01	-5.619950e-01	-2.807331e-01	-2.807331e-01	-2.807331e-01	2.807331e-01
1.924548259703442e-01	-4.565177e-01	-2.280440e-01	-2.280440e-01	-2.280440e-01	2.280440e-01
1.944079509703442e-01	-3.441739e-01	-1.719250e-01	-1.719250e-01	-1.719250e-01	1.719250e-01
1.963610759703442e-01	-2.266535e-01	-1.132201e-01	-1.132201e-01	-1.132201e-01	1.132201e-01
1.983142009703442e-01	-1.057239e-01	-5.281222e-02	-5.281222e-02	-5.281222e-02	5.281222e-02
2.012438884703442e-01	7.807627e-02	3.900141e-02	3.900141e-02	3.900141e-02	-3.900141e-02
2.031970134703442e-01	1.995261e-01	9.966918e-02	9.966918e-02	9.966918e-02	-9.966918e-02
2.051501384703442e-01	3.179749e-01	1.588379e-01	1.588379e-01	1.588379e-01	-1.588379e-01
2.071032634703442e-01	4.316410e-01	2.156174e-01	2.156174e-01	2.156174e-01	-2.156174e-01
2.090563884703442e-01	5.388149e-01	2.691540e-01	2.691540e-01	2.691540e-01	-2.691540e-01
2.110095134703442e-01	6.378844e-01	3.186421e-01	3.186421e-01	3.186421e-01	-3.186421e-01
2.129626384703442e-01	7.273597e-01	3.633376e-01	3.633376e-01	3.633376e-01	-3.633376e-01
2.149157634703442e-01	8.058947e-01	4.025682e-01	4.025682e-01	4.025682e-01	-4.025682e-01
2.168688884703442e-01	8.723083e-01	4.357437e-01	4.357437e-01	4.357437e-01	-4.357437e-01
2.188220134703442e-01	9.256016e-01	4.623653e-01	4.623653e-01	4.623653e-01	-4.623653e-01
2.207751384703442e-01	9.649730e-01	4.820325e-01	4.820325e-01	4.820325e-01	-4.820325e-01
2.227282634703442e-01	9.898303e-01	4.944495e-01	4.944495e-01	4.944495e-01	-4.944495e-01
2.246813884703442e-01	9.997996e-01	4.994294e-01	4.994294e-01	4.994294e-01	-4.994294e-01
2.266345134703442e-01	9.947310e-01	4.968975e-01	4.968975e-01	4.968975e-01	-4.968975e-01
2.285876384703442e-01	9.747007e-01	4.868918e-01	4.868918e-01	4.868918e-01	-4.868918e-01
2.305407634703442e-01	9.400101e-01	4.695628e-01	4.695628e-01	4.695628e-01	-4.695628e-01
2.324938884703442e-01	8.911808e-01	4.451711e-01	4.451711e-01	4.451711e-01	-4.451711e-01
2.344470134703442e-01	8.289473e-01	4.140837e-01	4.140837e-01	4.140837e-01	-4.140837e-01
2.364001384703442e-01	7.542456e-01	3.767680e-01	3.767680e-01	3.767680e-01	-3.767680e-01
2.383532634703442e-01	6.681995e-01	3.337854e-01	3.337854e-01	3.337854e-01	-3.337854e-01
2.403063884703442e-01	5.721030e-01	2.857823e-01	2.857823e-01	2.857823e-01	-2.857823e-01
2.422595134703442e-01	4.674015e-01	2.334808e-01	2.334808e-01	2.334808e-01	-2.334808e-01
2.442126384703442e-01	3.556698e-01	1.776676e-01	1.776676e-01	1.776676e-01	-1.776676e-01
2.461657634703442e-01	2.385886e-01	1.191820e-01	1.191820e-01	1.191820e-01	-1.191820e-01
2.481188884703442e-01	1.179187e-01	5.890388e-02	5.890388e-02	5.890388e-02	-5.890388e-02
2.500720134703442e-01	-4.524725e-03	-2.260233e-03	-2.260233e-03	-2.260233e-03	2.260233e-03
2.520251384703442e-01	-1.269001e-01	-6.339036e-02	-6.339036e-02	-6.339036e-02	6.339036e-02
2.539782634703442e-01	-2.473668e-01	-1.235670e-01	-1.235670e-01	-1.235670e-01	1.235670e-01
2.559313884703442e-01	-3.641129e-01	-1.818851e-01	-1.818851e-01	-1.818851e-01	1.818851e-01
2.578845134703442e-01	-4.753824e-01	-2.374675e-01	-2.374675e-01	-2.374675e-01	2.374675e-01
2.598376384703442e-01	-5.795016e-01	-2.894782e-01	-2.894782e-01	-2.894782e-01	2.894782e-01
2.617907634703442e-01	-6.749047e-01	-3.371348e-01	-3.371348e-01	-3.371348e-01	3.371348e-01
2.637438884703442e-01	-7.601565e-01	-3.797206e-01	-3.797206e-01	-3.797206e-01	3.797206e-01
2.656970134703442e-01	-8.339749e-01	-4.165951e-01	-4.165951e-01	-4.165951e-01	4.165951e-01
2.676501384703442e-01	-8.952495e-01	-4.472036e-01	-4.472036e-01	-4.472036e-01	4.472036e-01
2.696032634703442e-01	-9.430588e-01	-4.710857e-01	-4.710857e-01	-4.710857e-01	4.710857e-01
2.715563884703442e-01	-9.766835e-01	-4.878823e-01	-4.878823e-01	-4.878823e-01	4.878823e-01
2.735095134703442e-01	-9.956180e-01	-4.973406e-01	-4.973406e-01	-4.973406e-01	4.973406e-01
2.754626384703442e-01	-9.995775e-01	-4.993185e-01	-4.993185e-01	-4.993185e-01	4.993185e-01
2.774157634703442e-01	-9.885024e-01	-4.937862e-01	-4.937862e-01	-4.937862e-01	4.937862e-01
2.793688884703442e-01	-9.625594e-01	-4.808269e-01	-4.808269e-01	-4.808269e-01	4.808269e-01
2.813220134703442e-01	-9.221385e-01	-4.606354e-01	-4.606354e-01	-4.606354e-01	4.606354e-01
2.832751384703442e-01	-8.678479e-01	-4.335156e-01	-4.335156e-01	-4.335156e-01	4.335156e-01
2.852282634703442e-01	-8.005039e-01	-3.998753e-01	-3.998753e-01	-3.998753e-01	3.998753e-01
2.871813884703442e-01	-7.211197e-01	-3.602206e-01	-3.602206e-01	-3.602206e-01	3.602206e-01
2.891345134703442e-01	-6.308891e-01	-3.151478e-01	-3.151478e-01	-3.151478e-01	3.151478e-01
2.910876384703442e-01	-5.311694e-01	-2.653348e-01	-2.653348e-01	-2.653348e-01	2.653348e-01
2.930407634703442e-01	-4.234604e-01	-2.115310e-01	-2.115310e-01	-2.115310e-01	2.115310e-01
2.949938884703442e-01	-3.093822e-01	-1.545455e-01	-1.545455e-01	-1.545455e-01	1.545455e-01
2.969470134703442e-01	-1.906505e-01	-9.523557e-02	-9.523557e-02	-9.523557e-02	9.523557e-02
2.989001384703442e-01	-6.905135e-02	-3.449319e-02	-3.449319e-02	-3.449319e-02	3.449319e-02
3.008532634703442e-01	5.358645e-02	2.676801e-02	2.676801e-02	2.676801e-02	-2.676801e-02
3.028063884703442e-01	1.754182e-01	8.762659e-02	8.762659e-02	8.762659e-02	-8.762659e-02
3.047595134703442e-01	2.946116e-01	1.471672e-01	1.471672e-01	1.471672e-01	-1.471672e-01
3.067126384703442e-01	4.093737e-01	2.044943e-01	2.044943e-01	2.044943e-01	-2.044943e-01
3.086657634703442e-01	5.179785e-01	2.587456e-01	2.587456e-01	2.587456e-01	-2.587456e-01
3.106188884703442e-01	6.187924e-01	3.091050e-01	3.091050e-01	3.091050e-01	-3.091050e-01
3.125720134703442e-01	7.102990e-01	3.548153e-01	3.548153e-01	3.548153e-01	-3.548153e-01
3.145251384703442e-01	7.911221e-01	3.951889e-01	3.951889e-01	3.951889e-01	-3.951889e-01
3.164782634703442e-01	8.600460e-01	4.296184e-01	4.296184e-01	4.296184e-01	-4.296184e-01
3.184313884703442e-01	9.160340e-01	4.575860e-01	4.575860e-01	4.575860e-01	-4.575860e-01
3.203845134703442e-01	9.582440e-01	4.786712e-01	4.786712e-01	4.786712e-01	-4.786712e-01
3.223376384703442e-01	9.860411e-01	4.925567e-01	4.925567e-01	4.925567e-01	-4.925567e-01
3.242907634703442e-01	9.990072e-01	4.990336e-01	4.990336e-01	4.990336e-01	-4.990336e-01
3.262438884703442e-01	9.969474e-01	4.980047e-01	4.980047e-01	4.980047e-01	-4.980047e-01
3.281970134703442e-01	9.798925e-01	4.894852e-01	4.894852e-01	4.894852e-01	-4.894852e-01
