time	V(n002)	I(L1)	I(V1)
1.002929753613144e-01	1.840715e-02	1.608448e-05	-1.608448e-05
1.012695378613144e-01	7.968285e-02	6.393488e-05	-6.393488e-05
1.022461003613144e-01	1.406586e-01	1.714222e-04	-1.714222e-04
1.032226628613144e-01	2.011050e-01	3.381417e-04	-3.381417e-04
1.041992253613144e-01	2.607945e-01	5.634659e-04	-5.634659e-04
1.051757878613144e-01	3.195024e-01	8.465468e-04	-8.465468e-04
1.061523503613144e-01	3.770078e-01	1.186319e-03	-1.186319e-03
1.071289128613144e-01	4.330942e-01	1.581503e-03	-1.581503e-03
1.081054753613144e-01	4.875505e-01	2.030612e-03	-2.030612e-03
1.090820378613144e-01	5.401718e-01	2.531955e-03	-2.531955e-03
1.100586003613144e-01	5.907601e-01	3.083645e-03	-3.083645e-03
1.110351628613144e-01	6.391248e-01	3.683607e-03	-3.683607e-03
1.120117253613144e-01	6.850840e-01	4.329580e-03	-4.329580e-03
1.129882878613144e-01	7.284647e-01	5.019136e-03	-5.019136e-03
1.139648503613144e-01	7.691036e-01	5.749677e-03	-5.749677e-03
1.149414128613144e-01	8.068478e-01	6.518454e-03	-6.518454e-03
1.168945378613144e-01	8.730952e-01	8.159011e-03	-8.159011e-03
1.188476628613144e-01	9.262104e-01	9.916129e-03	-9.916129e-03
1.208007878613144e-01	9.653946e-01	1.176338e-02	-1.176338e-02
1.227539128613144e-01	9.900582e-01	1.367298e-02	-1.367298e-02
1.247070378613144e-01	9.998306e-01	1.561620e-02	-1.561620e-02
1.266601628613144e-01	9.945645e-01	1.756382e-02	-1.756382e-02
1.286132878613144e-01	9.743393e-01	1.948655e-02	-1.948655e-02
1.305664128613144e-01	9.394591e-01	2.135545e-02	-2.135545e-02
1.325195378613144e-01	8.904485e-01	2.314243e-02	-2.314243e-02
1.344726628613144e-01	8.280448e-01	2.482060e-02	-2.482060e-02
1.364257878613144e-01	7.531865e-01	2.636472e-02	-2.636472e-02
1.383789128613144e-01	6.669996e-01	2.775157e-02	-2.775157e-02
1.403320378613144e-01	5.707804e-01	2.896029e-02	-2.896029e-02
1.422851628613144e-01	4.659761e-01	2.997269e-02	-2.997269e-02
1.442382878613144e-01	3.541631e-01	3.077355e-02	-3.077355e-02
1.461914128613144e-01	2.370232e-01	3.135082e-02	-3.135082e-02
1.481445378613144e-01	1.163182e-01	3.169581e-02	-3.169581e-02
1.500976628613144e-01	-6.136300e-03	3.180335e-02	-3.180335e-02
1.520507878613144e-01	-1.284985e-01	3.167181e-02	-3.167181e-02
1.540039128613144e-01	-2.489280e-01	3.130317e-02	-3.130317e-02
1.559570378613144e-01	-3.656134e-01	3.070297e-02	-3.070297e-02
1.579101628613144e-01	-4.767996e-01	2.988024e-02	-2.988024e-02
1.598632878613144e-01	-5.808143e-01	2.884736e-02	-2.884736e-02
1.618164128613144e-01	-6.760930e-01	2.761985e-02	-2.761985e-02
1.637695378613144e-01	-7.612026e-01	2.621619e-02	-2.621619e-02
1.657226628613144e-01	-8.348631e-01	2.465748e-02	-2.465748e-02
1.676757878613144e-01	-8.959664e-01	2.296717e-02	-2.296717e-02
1.696289128613144e-01	-9.435936e-01	2.117068e-02	-2.117068e-02
1.715820378613144e-01	-9.770283e-01	1.929503e-02	-1.929503e-02
1.735351628613144e-01	-9.957675e-01	1.736843e-02	-1.736843e-02
1.754882878613144e-01	-9.995294e-01	1.541987e-02	-1.541987e-02
1.774414128613144e-01	-9.882575e-01	1.347864e-02	-1.347864e-02
1.793945378613144e-01	-9.621213e-01	1.157395e-02	-1.157395e-02
1.813476628613144e-01	-9.215139e-01	9.734438e-03	-9.734438e-03
1.833007878613144e-01	-8.670461e-01	7.987778e-03	-7.987778e-03
1.852539128613144e-01	-7.995370e-01	6.360240e-03	-6.360240e-03
1.862304753613144e-01	-7.612021e-01	5.598872e-03	-5.598872e-03
1.872070378613144e-01	-7.200022e-01	4.876303e-03	-4.876303e-03
1.881836003613144e-01	-6.760924e-01	4.195253e-03	-4.195253e-03
1.891601628613144e-01	-6.296379e-01	3.558286e-03	-3.558286e-03
1.901367253613144e-01	-5.808136e-01	2.967798e-03	-2.967798e-03
1.911132878613144e-01	-5.298033e-01	2.426012e-03	-2.426012e-03
1.920898503613144e-01	-4.767989e-01	1.934967e-03	-1.934967e-03
1.930664128613144e-01	-4.219999e-01	1.496512e-03	-1.496512e-03
1.940429753613144e-01	-3.656126e-01	1.112296e-03	-1.112296e-03
1.950195378613144e-01	-3.078493e-01	7.837659e-04	-7.837659e-04
1.959961003613144e-01	-2.489272e-01	5.121576e-04	-5.121576e-04
1.969726628613144e-01	-1.890683e-01	2.984935e-04	-2.984935e-04
1.979492253613144e-01	-1.284977e-01	1.435777e-04	-1.435777e-04
1.989257878613144e-01	-6.744350e-02	4.799321e-05	-4.799321e-05
1.999023503613144e-01	-6.135469e-03	1.209975e-05	-1.209975e-05
2.008789128613144e-01	5.519566e-02	3.603236e-05	-3.603236e-05
2.018554753613144e-01	1.163190e-01	1.197009e-04	-1.197009e-04
2.028320378613144e-01	1.770046e-01	2.627904e-04	-2.627904e-04
